0,1,2,3,4,5,6,7,8,9,10
"(0, 3)","(0, 4)","(1, 3)","(1, 4)","(1, 5)","(2, 3)","(2, 4)","(2, 6)","(2, 8)","(2, 9)","(3, 5)","(3, 7)","(3, 8)","(4, 5)","(4, 6)","(4, 7)","(4, 8)","(4, 9)","(5, 6)","(5, 10)","(6, 7)","(6, 10)","(7, 9)","(9, 10)"
49,29
0,2,3,4,1,5,7,8,6,9,10
1,2,3,4,0,5,7,8,6,9,10
2,1,3,4,0,5,7,8,6,9,10
5,0,3,4,1,2,7,8,6,9,10
7,2,3,4,6,9,0,1,5,8,10
8,1,3,4,0,2,5,7,6,9,10
10,0,9,4,5,6,3,2,7,1,8
1,3,4,0,2,5,7,8,6,9,10
2,3,7,4,6,9,0,1,5,8,10
3,5,0,4,1,2,7,8,6,9,10
3,8,1,4,0,2,5,7,6,9,10
3,10,5,0,9,4,6,2,7,1,8
4,0,5,3,1,2,7,8,6,9,10
4,1,3,0,2,5,7,8,6,9,10
4,2,5,3,6,0,1,7,8,9,10
4,5,0,3,1,2,7,8,6,9,10
4,7,5,3,6,0,1,2,8,9,10
4,8,1,3,0,2,5,7,6,9,10
5,1,2,3,4,6,0,7,8,9,10
6,2,3,5,7,4,9,0,1,8,10
8,2,1,3,4,0,5,7,6,9,10
9,2,3,7,4,6,0,1,5,8,10
10,1,5,2,9,6,3,4,7,0,8
1,3,5,9,4,2,7,10,0,8,6
4,1,5,3,0,2,7,8,6,9,10
4,2,6,7,3,9,0,1,5,8,10
4,6,5,0,3,1,2,7,8,9,10
4,8,2,5,3,6,0,1,7,9,10
4,9,2,7,3,6,0,1,5,8,10
