0,1,2,3,4,5,6,7,8,9,10,11
"(0, 3)","(0, 4)","(0, 5)","(0, 6)","(0, 9)","(0, 11)","(1, 3)","(1, 4)","(1, 5)","(1, 7)","(1, 8)","(1, 9)","(2, 3)","(2, 4)","(2, 6)","(3, 9)","(3, 10)","(4, 5)","(4, 7)","(4, 10)","(5, 6)","(5, 8)","(6, 7)","(6, 8)","(8, 10)","(8, 11)","(9, 11)"
60,26
0,2,3,4,6,1,10,5,7,9,8,11
1,2,3,4,0,10,5,9,6,8,11,7
2,1,3,4,0,10,6,5,9,8,7,11
7,0,4,6,2,5,3,1,10,9,8,11
10,2,3,4,0,1,6,5,9,8,7,11
0,3,8,5,6,11,1,10,4,2,7,9
1,3,6,5,7,8,0,2,4,10,11,9
2,3,8,6,1,10,0,5,7,4,11,9
3,7,1,8,10,6,4,0,2,5,9,11
3,10,8,1,4,0,2,5,6,11,9,7
4,0,3,1,2,10,5,9,8,6,11,7
4,1,3,0,2,10,5,9,6,8,11,7
4,7,0,6,2,5,3,1,10,9,8,11
4,10,6,0,2,5,7,8,3,11,1,9
5,0,3,1,4,9,2,10,6,8,7,11
5,1,3,0,4,9,2,10,6,8,7,11
6,0,4,2,5,7,3,1,10,8,9,11
6,2,7,4,0,5,3,1,10,8,9,11
7,1,2,4,6,3,0,5,10,8,9,11
8,1,4,5,10,3,0,2,6,11,9,7
9,0,2,3,4,6,1,10,5,7,8,11
9,1,2,3,4,0,10,5,6,8,7,11
11,0,2,3,9,4,6,8,1,10,5,7
0,3,9,10,4,1,2,5,8,6,11,7
3,9,1,6,0,2,5,7,8,4,11,10
5,6,0,7,1,4,8,3,9,2,11,10
