0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"(0, 4)","(0, 5)","(0, 7)","(1, 4)","(1, 6)","(1, 10)","(1, 13)","(2, 4)","(2, 5)","(2, 7)","(2, 11)","(2, 12)","(2, 13)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(3, 8)","(3, 9)","(3, 11)","(3, 12)","(3, 13)","(4, 5)","(4, 6)","(4, 8)","(4, 9)","(4, 14)","(5, 6)","(5, 7)","(5, 9)","(5, 10)","(5, 12)","(5, 13)","(6, 8)","(6, 9)","(6, 10)","(6, 12)","(7, 8)","(7, 11)","(7, 14)","(8, 10)","(9, 14)","(10, 11)","(13, 14)"
101,47
0,1,4
1,0,4
2,3,4,5,7,11,12,13,0,8,14,6,1,10,9
3,2,4,5,7,11,12,13,0,8,14,6,1,10,9
8,2,4,7,0,3,5,14,11,12,13,9,6,10,1
14,3,9,4,13,7,5,1,2,0,8,6,10,11,12
2,4,3,5,7,11,12,13,10,0,8,14,6,1,9
3,4,2,5,7,11,12,13,10,0,8,14,6,1,9
4,8,2,7,0,3,5,14,11,12,13,9,6,10,1
4,14,5,9,13,7,3,1,2,0,8,6,11,12,10
5,0,3,4,7,2,8,14,11,12,13,6,10,9,1
5,2,3,4,7,11,12,13,0,8,14,6,1,10,9
5,3,2,4,7,11,12,13,0,8,14,6,1,10,9
6,0,4,5,8,7,3,10,2,14,11,1,12,13,9
6,1,3,4,13,2,5,14,12,7,11,10,9,8,0
6,3,2,4,5,12,7,11,13,0,8,14,1,10,9
7,0,4,2,3,5,8,14,11,12,13,9,6,10,1
7,2,4,0,3,5,8,14,11,12,13,9,6,10,1
7,3,4,0,2,5,8,14,11,12,13,6,10,9,1
7,8,2,4,0,3,5,14,11,12,13,9,6,10,1
7,14,10,5,8,11,9,4,13,6,1,3,2,0,12
8,3,2,4,7,5,11,12,13,0,14,6,1,10,9
9,0,4,5,3,7,14,2,8,13,11,12,6,10,1
9,3,2,4,5,7,11,12,13,0,8,14,6,1,10
10,1,5,4,6,13,8,2,3,14,7,11,12,9,0
11,2,6,3,10,4,5,12,7,13,8,1,0,14,9
11,3,6,10,8,5,7,4,2,0,14,1,12,13,9
12,2,4,3,5,6,7,11,13,0,8,14,10,1,9
12,3,4,2,5,6,7,11,13,0,8,14,10,1,9
13,2,4,1,3,5,14,6,10,7,11,12,9,8,0
13,3,4,1,2,5,14,6,10,7,11,12,9,8,0
0,4,5,3,7,2,8,14,11,12,13,6,10,9,1
1,4,6,8,10,5,13,3,7,2,14,11,0,12,9
2,4,5,8,7,3,6,10,0,14,11,12,13,1,9
3,4,5,2,7,11,12,13,0,8,14,10,6,1,9
4,6,3,2,5,12,7,11,13,10,0,8,14,1,9
4,8,3,5,6,7,10,0,2,14,11,1,12,13,9
4,9,3,2,5,7,11,12,13,10,0,8,14,6,1
5,6,3,2,4,12,7,11,13,0,8,14,1,10,9
5,9,3,2,4,7,11,12,13,0,8,14,6,1,10
5,10,6,8,3,4,7,11,1,0,2,14,13,12,9
5,12,3,4,2,6,7,11,13,0,8,14,10,1,9
5,12,6,2,4,3,7,11,13,8,0,14,10,1,9
3,4,5,6,8,7,10,0,2,14,11,1,12,13,9
4,5,9,3,2,7,11,12,13,0,8,14,10,6,1
4,8,3,6,7,0,2,5,14,11,12,13,10,9,1
5,12,3,6,8,4,7,10,2,0,14,1,11,13,9
