0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"(0, 9)","(0, 10)","(0, 11)","(0, 15)","(0, 16)","(1, 9)","(1, 10)","(1, 12)","(1, 13)","(2, 9)","(2, 10)","(2, 11)","(2, 12)","(2, 16)","(3, 9)","(3, 10)","(3, 11)","(3, 12)","(3, 13)","(3, 15)","(3, 16)","(4, 9)","(4, 15)","(4, 16)","(5, 9)","(5, 10)","(5, 11)","(5, 12)","(5, 13)","(5, 14)","(6, 9)","(6, 10)","(6, 11)","(6, 12)","(6, 13)","(6, 14)","(6, 15)","(6, 16)","(7, 9)","(7, 10)","(7, 11)","(7, 12)","(7, 13)","(7, 14)","(7, 16)","(8, 9)","(8, 10)","(8, 11)","(8, 13)","(8, 14)","(8, 15)","(9, 10)","(9, 11)","(9, 12)","(9, 13)","(9, 14)","(9, 15)","(10, 11)","(10, 12)","(10, 14)","(10, 16)","(11, 12)","(11, 13)","(11, 14)","(11, 15)","(12, 13)","(12, 14)","(12, 15)","(13, 14)","(13, 15)","(13, 16)","(14, 16)"
171,125
0,5,9,10,11
1,4,9
2,0,9,10,11,16,3,4,6,7,13,14,12,15,1,5,8
3,8,9,10,11,13,15,1,5,6,7,12,14,16,0,2,4
4,0,9,15,16,2,3,6,7,10,13,14,11,12,8,1,5
5,4,9
6,8,9,10,11,13,14,15,1,3,5,7,12,16,0,2,4
7,8,9,10,11,13,14,1,3,5,6,12,16,15,2,0,4
8,1,9,10,13,3,5,6,7,11,12,14,16,15,0,2,4
12,0,9,10,11,15,3,6,8,16,13,14,2,7,4,1,5
13,0,9,11,15,16,2,3,4,6,7,10,14,12,1,5,8
14,4,9,16,0,2,3,6,7,10,13,11,15,12,1,5,8
0,9,5,10,11
3,9,8,10,11,13,15,1,5,6,7,12,14,16,0,2,4
6,9,8,10,11,13,14,15,1,3,5,7,12,16,0,2,4
7,9,8,10,11,13,14,1,3,5,6,12,16,15,2,0,4
9,2,0,10,11,16,3,6,7,13,14,4,12,15,1,5,8
9,4,0,15,16,3,6,13,2,7,10,14,11,12,1,5,8
9,8,1,10,13,3,5,6,7,11,12,14,16,15,0,2,4
9,12,0,10,11,15,3,6,8,16,13,14,2,4,7,1,5
9,13,0,11,15,16,2,3,6,7,10,14,4,12,1,5,8
9,14,4,16,0,2,3,6,7,10,13,11,15,12,1,5,8
10,0,5,9,11
10,1,2,9,12
10,2,0,9,11,16,3,4,6,7,13,14,12,15,1,5,8
10,3,8,9,11,13,15,1,5,6,7,12,14,16,0,2,4
10,5,2,9,11,12
10,6,8,9,11,13,14,15,1,3,5,7,12,16,0,2,4
10,7,8,9,11,13,14,1,3,5,6,12,16,15,2,0,4
10,8,1,9,13,3,5,6,7,11,12,14,16,15,0,2,4
10,12,0,9,11,15,3,6,8,16,13,14,2,7,4,1,5
10,14,4,9,16,0,2,3,6,7,13,11,15,12,1,5,8
11,0,4,9,15,16,2,3,6,7,10,13,14,12,8,1,5
11,2,4,9,15,16,0,3,6,7,10,13,14,12,8,1,5
11,3,8,9,10,13,15,1,5,6,7,12,14,16,0,2,4
11,4,9,15,7,16,12,13,0,2,3,6,10,14,8,1,5
11,5,2,9,10,12
11,6,8,9,10,13,14,15,1,3,5,7,12,16,0,2,4
11,7,8,9,10,13,14,1,3,5,6,12,16,15,2,0,4
11,8,1,9,10,12,13,3,5,6,7,14,16,15,0,2,4
12,1,0,9,10,11,15,3,6,8,13,16,14,5,7,2,4
13,1,8,9,10,3,5,6,7,11,12,14,16,15,0,2,4
14,5,8,9,10,11,13,1,3,6,7,12,16,15,2,0,4
15,0,8,9,10,11,3,6,12,16,13,14,4,2,7,1,5
15,3,8,9,10,11,13,0,6,12,1,5,7,14,16,2,4
15,4,7,9,11,12,13,16,0,2,3,6,10,14,8,1,5
15,6,8,9,10,11,13,14,0,3,12,1,5,7,16,2,4
15,8,3,9,10,11,13,0,6,12,1,5,7,14,16,2,4
16,0,9,2,3,4,6,7,10,13,14,11,12,15,1,5,8
16,2,9,0,3,4,6,7,10,13,14,11,15,12,1,5,8
16,3,9,0,2,4,6,7,10,13,14,11,15,12,1,5,8
16,6,9,0,2,3,4,7,10,13,14,11,15,12,1,5,8
16,7,9,0,2,3,4,6,10,13,14,11,15,12,1,5,8
