0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
"(0, 6)","(0, 7)","(0, 8)","(0, 11)","(0, 12)","(0, 15)","(0, 16)","(1, 6)","(1, 9)","(1, 11)","(1, 12)","(1, 13)","(2, 6)","(2, 7)","(2, 8)","(2, 9)","(2, 11)","(2, 15)","(3, 6)","(3, 7)","(3, 8)","(3, 9)","(3, 10)","(3, 12)","(3, 13)","(3, 14)","(3, 15)","(3, 16)","(4, 6)","(4, 7)","(4, 14)","(4, 17)","(5, 6)","(5, 7)","(5, 8)","(5, 10)","(5, 13)","(5, 14)","(6, 7)","(6, 8)","(6, 9)","(6, 10)","(6, 16)","(6, 17)","(7, 8)","(7, 9)","(7, 10)","(7, 11)","(7, 12)","(7, 13)","(7, 14)","(7, 15)","(8, 9)","(8, 10)","(8, 11)","(8, 15)","(9, 10)","(9, 14)","(10, 11)","(10, 12)","(10, 13)","(10, 14)","(10, 16)","(11, 12)","(11, 13)","(11, 17)","(12, 15)","(12, 16)","(13, 17)","(14, 17)","(15, 16)","(15, 17)"
184,105
0,3,6,7,8,12,15,16,1,10,2,17,11,9,13,14,4,5
1,3,6,9,12,13,0,7,10,16,5,17,11,8,15,4,14,2
2,3,6,7,8,9,15,0,16,17,11,12,10,13,14,4,1,5
3,5,6,7,8,10,13,14,1,17,4,9,11,12,15,2,0,16
4,2,6,7
5,2,6,7,8
10,2,6,7,8,9,11,0,1,17,12,16,15,13,14,4,3,5
17,3,6,13,14,15,1,5,7,10,4,9,0,2,8,16,11,12
0,4,6,7,5,8,14,3,9,10,17,12,15,16,13,11,1,2
2,4,6,7,5,8,14,3,9,10,17,15,13,11,0,16,12,1
3,6,5,7,8,10,13,14,11,9,1,17,4,12,0,2,15,16
5,6,2,7,8
6,0,3,7,8,12,15,16,10,11,1,2,17,9,13,14,4,5
6,1,3,9,12,13,7,10,0,16,11,5,17,15,4,14,8,2
6,2,3,7,8,9,15,0,16,17,11,12,10,13,14,4,1,5
6,10,2,7,8,9,11,1,0,17,12,13,16,15,14,4,3,5
6,17,3,13,14,15,1,5,7,10,4,9,0,2,8,16,11,12
7,0,3,6,8,12,15,16,1,10,2,17,11,9,13,14,4,5
7,2,3,6,8,9,15,0,16,17,11,12,10,4,13,14,1,5
7,3,5,6,8,10,13,14,1,17,4,9,11,12,15,2,0,16
7,4,2,6
7,5,2,6,8
7,10,2,6,8,9,11,0,1,17,12,16,15,13,4,14,3,5
8,0,3,6,7,12,15,16,1,10,2,17,11,9,13,14,4,5
8,2,3,6,7,9,15,0,16,17,11,12,10,13,14,4,1,5
8,3,5,6,7,10,13,14,1,17,4,9,11,12,15,2,0,16
8,5,2,6,7
9,1,5,6,7,8,10,14,13,3,4,17,11,12,15,2,0,16
9,2,5,6,7,8,10,14,3,4,17,11,15,13,12,1,0,16
9,3,5,6,7,8,10,14,13,4,17,1,11,15,12,2,0,16
10,3,5,6,7,8,13,14,1,17,4,9,11,12,15,2,0,16
11,0,6,1,2,7,8,10,17,12,9,13,15,4,14,16,3,5
