0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
"(0, 5)","(0, 6)","(0, 8)","(0, 12)","(0, 15)","(1, 5)","(1, 6)","(1, 7)","(1, 9)","(1, 11)","(1, 12)","(1, 13)","(1, 14)","(1, 15)","(2, 5)","(2, 7)","(2, 8)","(2, 9)","(2, 10)","(2, 13)","(2, 14)","(2, 15)","(3, 5)","(3, 6)","(3, 9)","(3, 17)","(4, 5)","(4, 6)","(4, 7)","(4, 8)","(4, 10)","(4, 17)","(5, 6)","(5, 7)","(5, 8)","(5, 9)","(5, 10)","(5, 11)","(5, 14)","(5, 15)","(5, 16)","(5, 17)","(5, 18)","(6, 7)","(6, 8)","(6, 10)","(6, 11)","(6, 14)","(6, 16)","(7, 9)","(7, 10)","(7, 11)","(7, 14)","(7, 18)","(8, 11)","(8, 12)","(8, 13)","(8, 15)","(9, 13)","(9, 16)","(9, 18)","(10, 12)","(10, 17)","(10, 18)","(11, 12)","(12, 13)","(13, 16)","(14, 16)","(14, 17)","(15, 18)"
190,114
0,1,5,6,12,15,8,10,11,13,2,4,7,18,9,16,14,3,17
1,3,5,6,9,7,16,14,13,17,2,8,4,10,12,15,11,18,0
2,3,5,9
3,2,5,9
4,1,5,6,7
10,1,5,6,7,12,0,8,11,15,2,4,13,18,9,14,16,3,17
11,0,5,6,8,12,1,10,15,13,7,2,4,18,9,16,14,3,17
16,4,5,6
18,4,5,7,10
3,0,5,6,7,9,1,16,12,15,13,14,8,10,11,17,2,18,4
4,5,1,6,7
5,0,1,6,12,15,8,10,11,13,2,4,7,18,9,16,14,3,17
5,1,3,6,9,7,16,14,13,17,2,8,4,10,12,15,11,18,0
5,10,1,6,7,12,0,8,11,15,2,4,13,18,9,14,16,3,17
5,11,0,6,8,12,1,10,15,13,7,2,4,18,9,16,14,3,17
5,16,4,6
6,0,2,5,7,8,10,14,15,4,11,1,18,12,17,9,13,3,16
6,1,3,5,9,7,16,14,13,17,2,8,4,10,12,15,11,18,0
6,3,0,5
6,4,1,5,7
6,10,3,5,17,4,14,7,2,9,8,1,16,18,13,12,11,15,0
6,11,0,5,8,12,1,10,15,13,7,2,4,18,16,9,14,3,17
6,16,4,5
6,18,5,7,10,3,9,17,1,16,2,4,14,15,12,13,8,0,11
7,0,5,6,13,1,2,9,8,12,16,15,14,11,10,3,4,18,17
7,1,3,5,6,9,16,14,13,17,2,8,4,10,12,15,11,18,0
7,2,4,5,8,10,6,11,12,14,0,1,13,17,16,15,9,3,18
7,4,0,5,6,8,2,11,10,15,14,12,18,17,1,13,9,3,16
8,0,1,5,6,11,12,13,15,10,2,9,16,4,7,18,14,3,17
8,2,0,5,15
8,4,0,5,6
9,1,4,5,7,6,3,16,17,13,14,10,8,2,12,18,11,15,0
9,2,1,5,7,13,14,15,8,16,18,6,11,12,4,10,3,0,17
9,3,1,5,6,7,16,14,13,2,17,8,15,10,4,12,11,18,0
