0,1,2,3,4,5,6,7,8,9
"(0, 4)","(0, 6)","(0, 8)","(0, 9)","(1, 2)","(1, 4)","(1, 5)","(1, 7)","(1, 8)","(1, 9)","(2, 5)","(2, 8)","(2, 9)","(3, 6)","(3, 7)","(3, 9)","(4, 5)","(4, 6)","(4, 7)","(4, 8)","(4, 9)","(5, 7)","(5, 8)","(6, 7)","(7, 9)","(8, 9)"
80,26
1,2,3,7,9,5,4,8,6,0
2,3,9,7,1,5,4,8,6,0
2,5,0,8,9,4,1,7,6,3
3,6,4,7,9,0
5,1,0,4,8,9,2,7,6,3
6,0,2,8,4,9,3,7,1,5
6,1,4,7,3,9,0,8,5,2
7,1,0,4,6,9,8,3,5,2
8,3,9,1,7,4,5,6,2,0
0,4,6,2,8,9,1,5,3,7
1,4,5,0,8,9,2,7,6,3
2,5,1,3,9,7,4,8,6,0
2,8,1,3,9,7,5,4,6,0
2,8,5,0,9,4,1,7,6,3
4,5,6,7,0,8,9,1,2,3
4,5,7,0,8,6,9,1,3,2
4,7,1,0,6,9,8,3,5,2
8,5,1,0,4,9,2,7,6,3
9,1,2,3,7,5,4,8,6,0
9,7,1,0,4,6,8,3,5,2
2,8,5,1,3,9,7,4,6,0
2,8,9,1,3,7,5,4,6,0
4,5,7,1,0,8,6,9,3,2
4,8,0,9
4,8,1,5,0,9,2,7,6,3
4,9,1,7,0,8,6,5,3,2
