0,1,2,3,4,5,6,7,8,9,10
"(0, 1)","(0, 2)","(0, 3)","(0, 4)","(0, 5)","(0, 6)","(0, 7)","(0, 9)","(0, 10)","(1, 3)","(1, 4)","(1, 5)","(1, 6)","(1, 8)","(1, 9)","(1, 10)","(2, 4)","(2, 5)","(2, 7)","(2, 8)","(2, 9)","(2, 10)","(3, 4)","(3, 5)","(3, 9)","(3, 10)","(4, 5)","(4, 6)","(4, 7)","(4, 8)","(4, 9)","(5, 6)","(5, 7)","(5, 8)","(5, 9)","(5, 10)","(6, 7)","(6, 8)","(6, 9)","(6, 10)","(7, 9)","(7, 10)","(8, 9)","(8, 10)","(9, 10)"
301,140
8,0,1,2,4,5,6,9,10,7,3
0,1,2,4,5,8,9,10,3,6,7
0,2,3,4,5,9,10,1,6,7,8
0,7,1,4,5,6,9,10,2,3,8
1,8,3,4,5,9,10,0,2,6,7
2,8,3,0,4,5,9,10,1,6,7
4,8,0,1,2,5,6,9,10,7,3
5,8,0,1,2,4,6,9,10,7,3
6,8,0,1,2,4,5,9,10,7,3
9,8,0,1,2,4,5,6,10,7,3
10,8,0,1,2,4,5,6,9,7,3
0,1,3,2,4,5,8,9,10,6,7
0,2,4,3,5,9,10,1,6,7,8
0,4,1,2,5,8,9,10,6,3,7
0,4,7,1,5,6,9,10,2,3,8
0,5,1,2,4,8,9,10,3,6,7
0,5,2,3,4,9,10,1,6,7,8
0,5,7,1,4,6,9,10,2,3,8
0,6,1,3,4,5,9,10,2,7,8
0,6,7,3,1,4,5,9,10,2,8
0,7,2,3,4,5,9,10,1,6,8
0,9,1,2,4,5,8,10,3,6,7
0,9,2,3,4,5,10,1,6,7,8
0,9,7,1,4,5,6,10,2,3,8
0,10,1,2,4,5,8,9,3,6,7
0,10,2,4,1,3,5,6,7,8,9
0,10,7,1,4,5,6,9,2,3,8
1,4,8,3,5,9,10,0,2,6,7
1,5,8,3,4,9,10,0,2,6,7
1,6,8,3,0,4,5,9,10,2,7
1,9,8,3,4,5,10,0,2,6,7
1,10,8,4,0,2,3,5,6,7,9
2,4,8,3,0,5,9,10,1,6,7
2,5,8,3,0,4,9,10,1,6,7
2,9,8,3,0,4,5,10,1,6,7
2,10,8,4,0,1,3,5,6,7,9
4,5,8,0,1,2,6,9,10,7,3
4,6,8,0,1,2,5,9,10,7,3
4,9,8,0,1,2,5,6,10,7,3
5,6,8,0,1,2,4,9,10,7,3
5,9,8,0,1,2,4,6,10,7,3
5,10,8,0,1,2,4,6,9,7,3
6,9,8,0,1,2,4,5,10,7,3
6,10,8,0,1,2,4,5,9,7,3
9,10,8,0,1,2,4,5,6,7,3
0,1,3,4,2,5,8,9,10,6,7
0,2,4,5,6,7,8,9,10,1,3
0,3,5,1,2,4,9,10,8,6,7
0,3,9,1,2,4,5,10,8,6,7
0,3,10,1,4,2,5,6,7,8,9
0,4,5,1,2,8,9,10,6,3,7
0,4,5,7,1,6,9,10,2,3,8
0,4,6,1,3,5,9,10,2,7,8
0,4,6,7,3,1,5,9,10,2,8
0,4,7,2,3,5,9,10,1,6,8
0,4,9,1,2,5,8,10,6,3,7
0,4,9,2,3,5,10,1,6,7,8
0,4,9,7,1,5,6,10,2,3,8
0,5,6,1,3,4,9,10,2,7,8
0,5,6,7,3,1,4,9,10,2,8
0,5,7,2,3,4,9,10,1,6,8
0,5,9,1,2,4,8,10,3,6,7
0,5,9,2,3,4,10,1,6,7,8
0,5,9,7,1,4,6,10,2,3,8
0,5,10,1,2,4,8,9,3,6,7
0,5,10,2,6,4,7,8,9,1,3
0,5,10,7,1,4,6,9,2,3,8
0,6,9,1,3,4,5,10,2,7,8
0,6,9,7,3,1,4,5,10,2,8
0,6,10,1,4,2,3,5,7,8,9
0,6,10,7,4,1,2,3,5,8,9
0,9,7,2,3,4,5,10,1,6,8
0,9,10,1,2,4,5,8,3,6,7
0,9,10,2,4,1,3,5,6,7,8
0,9,10,7,1,4,5,6,2,3,8
0,10,7,2,4,1,3,5,6,8,9
1,4,5,8,3,9,10,0,2,6,7
1,4,6,8,3,0,5,9,10,2,7
1,4,9,8,3,5,10,0,2,6,7
1,5,6,8,3,0,4,9,10,2,7
1,5,9,8,3,4,10,0,2,6,7
1,5,10,8,4,0,2,3,6,7,9
1,6,9,8,3,0,4,5,10,2,7
1,6,10,8,4,0,2,3,5,7,9
1,9,10,8,4,0,2,3,5,6,7
2,4,5,8,7,6,9,10,0,1,3
2,4,9,8,3,0,5,10,1,6,7
2,5,9,8,3,0,4,10,1,6,7
2,5,10,8,7,4,6,9,0,1,3
2,9,10,8,4,0,1,3,5,6,7
4,5,6,8,0,1,2,9,10,7,3
4,5,9,8,0,1,2,6,10,7,3
4,6,9,8,0,1,2,5,10,7,3
5,6,9,8,0,1,2,4,10,7,3
5,6,10,8,0,1,2,4,9,7,3
5,9,10,8,0,1,2,4,6,7,3
6,9,10,8,0,1,2,4,5,7,3
0,1,3,4,5,8,2,6,9,10,7
0,2,4,5,7,8,1,6,9,10,3
0,3,4,5,9
0,3,4,9,1,2,5,10,8,6,7
0,3,5,9,1,2,4,10,8,6,7
0,3,5,9,10
0,3,5,10,1,8,2,4,6,9,7
0,3,9,10,1,4,2,5,6,7,8
0,4,5,6,1,8,2,9,10,7,3
0,4,5,6,7,8,1,2,9,10,3
0,4,5,9,1,2,8,10,6,3,7
0,4,5,9,2,6,7,8,10,1,3
0,4,5,9,7,1,6,10,2,3,8
0,4,6,9,1,3,5,10,2,7,8
0,4,6,9,7,3,1,5,10,2,8
0,4,9,7,2,3,5,10,1,6,8
0,5,6,9,1,3,4,10,2,7,8
0,5,6,9,7,3,1,4,10,2,8
0,5,6,10,1,8,2,4,9,7,3
0,5,6,10,7,8,1,2,4,9,3
0,5,9,7,2,3,4,10,1,6,8
0,5,9,10,1,2,4,8,3,6,7
0,5,9,10,2,6,4,7,8,1,3
0,5,9,10,7,1,4,6,2,3,8
0,5,10,2,7,8,1,4,6,9,3
0,6,9,10,1,4,2,3,5,7,8
0,6,9,10,7,4,1,2,3,5,8
0,9,10,7,2,4,1,3,5,6,8
1,3,4,5,9
1,3,5,9,10
1,4,5,6,8,7,0,9,10,2,3
1,4,5,9,8,3,10,0,2,6,7
