0,1,2,3,4,5,6,7,8,9,10,11
"(0, 1)","(0, 3)","(0, 4)","(0, 6)","(0, 8)","(0, 9)","(0, 10)","(0, 11)","(1, 3)","(1, 5)","(1, 9)","(2, 3)","(2, 4)","(2, 5)","(2, 7)","(2, 8)","(3, 6)","(3, 8)","(3, 9)","(4, 5)","(4, 6)","(4, 7)","(4, 8)","(4, 10)","(5, 6)","(5, 8)","(5, 10)","(5, 11)","(6, 7)","(6, 8)","(6, 9)","(6, 10)","(6, 11)","(7, 8)","(7, 9)","(7, 10)","(7, 11)","(8, 9)","(8, 10)"
125,73
2,1,3,5,6,8,4,7,0,9,10,11
5,0,1,4,6,8,10,11,3,9,7,2
7,0,4,6,8,9,10,11,5,2,1,3
0,1,2,3,4,8,5,6,9,10,11,7
0,4,5,1,6,8,10,11,3,9,7,2
0,6,2,3,4,8,5,7,1,9,10,11
0,8,2,3,4,6,5,7,1,10,11,9
0,10,2,3,4,8,5,7,6,1,9,11
0,11,2,3,4,8,5,7,6,1,9,10
2,3,7,6,8,9,4,5,0,1,10,11
4,2,3,0,6,8,5,7,1,10,11,9
4,5,1,0,6,8,10,11,3,9,7,2
4,7,1,0,5,9,6,8,10,11,2,3
6,5,3,1,2,8,0,9,4,7,10,11
6,7,3,2,8,9,4,5,0,10,11,1
8,2,1,0,3,5,9,4,6,10,11,7
8,5,1,0,3,9,4,6,10,11,2,7
8,7,1,0,3,5,9,4,6,10,11,2
9,7,0,4,6,8,10,11,5,1,2,3
10,5,3,0,6,8,1,2,4,11,9,7
10,7,3,0,6,8,2,9,4,11,5,1
11,5,4,0,6,7,1,8,10,9,2,3
11,7,5,2,4,6,8,10,3,0,9,1
0,1,3,8,5,9,4,6,10,11,2,7
0,3,6,7,4,8,9,10,11,2,5,1
0,3,8,5,1,4,6,10,11,2,9,7
0,4,6,7,8,9,10,11,5,1,2,3
0,9,1,2,3,4,8,7,5,6,10,11
0,9,6,2,3,4,8,7,5,1,10,11
0,9,8,2,3,4,7,6,10,11,5,1
1,3,9
4,2,5,7,6,8,10,11,3,0,1,9
4,6,5,7,2,8,10,11,3,0,1,9
4,6,7,5,2,8,10,11,3,0,9,1
4,7,2,6,3,5,8,0,9,1,10,11
4,8,0,5,1,6,10,11,3,9,7,2
4,8,2,3,0,6,5,7,1,10,11,9
4,8,5,1,0,3,9,6,10,11,2,7
4,8,7,1,0,5,3,9,6,10,11,2
4,10,0,5,1,6,8,11,3,9,7,2
4,10,5,3,0,2,6,8,1,11,7,9
4,10,7,5,2,6,8,11,3,0,9,1
6,8,0,2,3,4,5,7,1,9,10,11
6,8,5,3,1,2,0,9,4,7,10,11
6,8,7,3,2,9,4,5,0,10,11,1
6,9,7,5,1,8,2,4,10,11,0,3
6,10,0,2,3,4,5,7,8,1,9,11
6,10,5,3,0,8,1,2,4,11,9,7
6,10,7,3,0,8,2,9,4,11,5,1
6,11,0,2,3,4,5,7,8,1,9,10
8,5,2,3,1,6,0,9,4,7,10,11
8,7,2,3,6,9,4,5,0,10,11,1
8,9,7,5,1,6,2,4,10,11,0,3
8,10,0,2,4,5,7,3,6,1,11,9
8,10,5,3,0,6,1,2,4,11,9,7
8,10,7,3,0,6,2,9,4,11,5,1
0,3,6,8,7,4,9,10,11,2,5,1
0,3,9,6,7,4,8,10,11,2,5,1
0,3,9,8,5,1,4,6,10,11,2,7
0,4,6,8,9,7,10,11,5,1,2,3
3,6,8,9
4,6,5,8,9,0,7,1,10,11,2,3
4,6,7,8,9,0,10,11,5,2,1,3
4,6,10,0,7,8,9,11,5,1,2,3
4,6,10,5,7,2,8,11,3,0,1,9
4,6,10,7,5,2,8,11,3,0,9,1
4,8,10,0,5,1,6,11,3,9,7,2
4,8,10,5,3,0,2,6,1,11,7,9
4,8,10,7,5,2,6,11,3,0,9,1
6,8,9,0,2,3,4,5,7,1,10,11
6,8,10,0,2,3,4,5,7,1,9,11
6,8,10,5,3,0,1,2,4,11,9,7
6,8,10,7,3,0,2,9,4,11,5,1
