0,1,2,3,4,5,6,7,8,9,10,11,12
"(0, 7)","(0, 11)","(1, 2)","(1, 3)","(1, 4)","(1, 5)","(1, 7)","(1, 9)","(2, 4)","(2, 6)","(2, 11)","(2, 12)","(3, 4)","(3, 12)","(4, 6)","(4, 11)","(5, 6)","(5, 7)","(5, 9)","(5, 10)","(6, 8)","(6, 10)","(6, 11)","(7, 11)","(8, 11)","(8, 12)","(9, 11)","(9, 12)","(11, 12)"
85,44
3,0,1,7,4,11,12,2,9,5,6,8
10,0,5,7,6,11,9,1,2,4,12,8,3
0,1,7,4,11,2,9,12,5,3,6,8
0,2,11,3,7,1,4,12,9,5,6,8
0,3,7,1,11,4,12,2,9,5,6,8
0,4,11,1,7,2,9,5,12,6,3,8
0,5,7
0,6,11,1,7,2,4,5,9,12,8,3
1,2,0,7,11,4,9,12,5,3,6,8
1,3,0,7,4,11,12,2,9,5,6,8
1,4,0,7,11,2,9,12,5,3,6,8
1,6,2,4,5,0,7,11,9,12,3,8
2,10,6,0,11,5,7,9,1,12,4,8,3
2,0,11,12,5,1,6,7,9,4,3,8
4,3,0,11,1,7,12,2,9,5,6,8
4,10,6,0,11,5,7,9,1,2,12,3,8
5,3,1,0,7,4,11,12,6,2,9,8
5,6,0,7,11,9,1,2,4,12,8,3
6,1,2,4,5,10,0,11,7,9,12,8,3
7,3,1,0,4,11,12,2,9,5,6,8
7,10,5,0,6,11,9,1,2,4,12,8,3
8,0,11,1,6,2,12,4,5,7,9,3
8,1,6,2,11,12,4,5,7,9,3,10
9,0,11,7,1,5,2,4,6,12,3,8
9,1,0,11,7,2,4,5,12,6,3,8
9,5,0,11,7,6,1,2,4,12,8,3
9,10,5,0,11,7,6,1,2,4,12,8,3
10,1,5,0,7,6,11,2,4,9,12,8,3
11,0,1,2,4,7,9,12,5,3,6,8
12,0,11,1,2,3,9,7,4,5,6,8
0,2,11,4,5,7,1,6,9,12,3,8
0,6,11,2,3,7,1,4,12,5,9,8
0,7,8,11,9,1,5,12,2,6,4,3
0,7,11,6,5,9,1,2,4,12,8,3
1,4,2,0,7,11,9,12,5,3,6,8
2,4,10,6,0,11,5,7,9,1,12,3,8
4,3,1,0,11,7,12,2,9,5,6,8
4,6,0,11,1,2,5,7,9,12,3,8
4,8,6,11,10,0,5,7,1,9,2,12,3
5,7,3,1,0,4,11,12,6,2,9,8
7,10,5,1,0,6,11,2,4,9,12,8,3
9,5,1,0,11,7,6,2,4,12,3,8
9,10,5,1,0,11,7,6,2,4,12,8,3
2,4,6,11,10,0,5,7,1,9,12,3,8
