0,1,2,3,4,5,6,7,8,9,10,11,12
"(0, 2)","(0, 3)","(0, 6)","(0, 10)","(1, 3)","(1, 7)","(1, 11)","(1, 12)","(2, 4)","(2, 7)","(2, 9)","(2, 10)","(2, 11)","(3, 4)","(3, 5)","(3, 6)","(3, 9)","(3, 12)","(4, 6)","(4, 9)","(4, 10)","(4, 11)","(5, 6)","(5, 7)","(5, 8)","(5, 9)","(5, 10)","(5, 12)","(6, 7)","(6, 10)","(6, 11)","(7, 10)","(7, 12)","(8, 9)","(8, 11)","(9, 10)","(9, 11)","(9, 12)"
69,39
1,0,3
4,1,3,11,6,9,7,5,10,12,2,8,0
5,1,3,7,12,6,11,8,9,4,2,10,0
7,0,2,6,10,4,11,3,1,9,5,12,8
8,0,5,3,9,6,11,10,2,7,1,4,12
9,1,3,11,12,4,6,5,10,7,8,0,2
11,0,2,6,4,7,10,3,1,9,5,12,8
0,1,3,11,2,6,4,9,7,10,5,12,8
0,2,9,3,10,4,5,6,7,11,12,1,8
2,4,7,6,10,0,11,3,1,9,5,12,8
2,7,4,6,10,0,11,3,1,9,5,12,8
3,4,5,6,9,10,11,0,1,8,2,7,12
3,5,4,6,9,10,11,0,1,8,2,7,12
3,8,5,9,11,1,4,6,7,12,10,2,0
3,9,2,0,4,10,6,5,11,7,8,1,12
6,0,2,4,7,10,11,3,1,9,5,12,8
6,4,2,0,7,10,11,3,1,9,5,12,8
6,5,2,0,4,7,10,11,9,3,1,12,8
6,7,4,2,10,0,11,3,1,9,5,12,8
6,11,3,1,4,9,7,12,5,10,2,8,0
7,1,9,2,5,10,12,3,11,0,4,6,8
9,2,3,0,4,10,6,5,11,7,8,1,12
10,0,1,7,3,2,6,5,12,4,9,11,8
10,4,1,7,3,11,2,6,5,12,0,9,8
10,5,1,7,3,12,6,0,4,9,11,2,8
10,7,0,2,6,4,11,3,9,1,5,12,8
11,1,7,2,6,0,4,10,3,9,5,12,8
12,0,3
12,1,0,3
1,3,12
3,9,4,11,1,6,12,7,5,10,2,8,0
3,12,5,7,1,6,11,4,9,8,2,10,0
3,12,9,2,0,4,7,10,6,1,5,11,8
6,7,5,9,3,4,10,11,2,12,1,0,8
6,10,5,4,3,9,0,11,2,8,1,7,12
6,10,7,4,2,0,11,3,9,1,5,12,8
9,2,4,7,5,10,12,6,3,11,0,1,8
10,2,4,8,5,9,11,7,3,6,12,1,0
10,2,7,4,6,0,11,3,9,1,5,12,8
