0,1,2,3,4,5,6,7,8,9,10,11,12,13
"(0, 1)","(0, 2)","(0, 3)","(0, 6)","(0, 8)","(0, 9)","(0, 11)","(0, 12)","(0, 13)","(1, 2)","(1, 3)","(1, 6)","(1, 7)","(1, 8)","(1, 9)","(1, 10)","(1, 11)","(1, 12)","(1, 13)","(2, 4)","(2, 5)","(2, 6)","(2, 7)","(2, 9)","(2, 11)","(2, 13)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(3, 8)","(3, 9)","(3, 10)","(3, 11)","(3, 12)","(4, 5)","(4, 7)","(4, 8)","(4, 9)","(4, 11)","(4, 12)","(4, 13)","(5, 7)","(5, 8)","(5, 10)","(5, 11)","(6, 7)","(6, 8)","(6, 11)","(6, 12)","(6, 13)","(7, 8)","(7, 9)","(7, 10)","(7, 11)","(7, 12)","(7, 13)","(8, 9)","(8, 10)","(8, 12)","(8, 13)","(9, 10)","(9, 11)","(9, 12)","(9, 13)","(10, 12)","(10, 13)","(11, 12)","(11, 13)"
468,271
4,1,2,3,7,8,9,11,12,13,0,5,6,10
5,1,2,3,7,8,10,11,0,4,6,9,13,12
7,0,1,2,3,6,8,9,11,12,13,4,5,10
10,0,1,3,8,9,12,13,4,6,7,11,5,2
1,7,0,2,3,6,8,9,11,12,13,4,5,10
1,10,2,5,7,9,13,3,8,11,4,0,6,12
2,4,3,0,1,5,6,7,9,11,8,12,13,10
2,5,3,0,1,4,6,7,9,11,8,12,13,10
2,7,0,1,3,6,8,9,11,12,13,4,5,10
3,4,2,0,1,5,6,7,9,11,8,12,13,10
3,5,2,0,1,4,6,7,9,11,8,12,13,10
3,7,0,1,2,6,8,9,11,12,13,4,5,10
3,10,0,1,8,9,12,13,4,6,7,11,5,2
6,7,0,1,2,3,8,9,11,12,13,4,5,10
8,4,2,0,1,5,6,7,9,13,3,11,12,10
8,5,2,0,1,4,6,7,9,13,3,11,12,10
8,7,0,1,2,3,6,9,11,12,13,4,5,10
8,10,0,1,3,9,12,13,4,6,7,11,5,2
9,4,1,2,3,7,8,11,12,13,0,5,6,10
9,7,0,1,2,3,6,8,11,12,13,4,5,10
9,10,0,1,3,8,12,13,4,6,7,11,5,2
11,4,1,2,3,7,8,9,12,13,0,5,6,10
11,5,1,2,3,7,8,10,0,4,6,9,13,12
11,7,0,1,2,3,6,8,9,12,13,4,5,10
12,4,2,0,1,6,7,9,11,3,8,13,5,10
12,7,0,1,2,3,6,8,9,11,13,4,5,10
12,10,0,1,3,8,9,13,4,6,7,11,5,2
13,4,1,2,3,7,8,9,11,12,0,5,6,10
13,7,0,1,2,3,6,8,9,11,12,4,5,10
13,10,0,1,3,8,9,12,4,6,7,11,5,2
0,1,2,5,3,8,11,7,10,4,6,9,13,12
0,1,3,5,2,8,11,7,10,4,6,9,13,12
0,1,8,2,4,5,6,7,9,13,3,11,12,10
0,1,12,2,4,6,7,9,11,3,8,13,5,10
1,2,7,5,3,8,10,11,0,4,6,9,13,12
1,3,7,5,2,8,10,11,0,4,6,9,13,12
1,3,10,6,7,8,12,13,0,4,9,11,2,5
1,6,7,0,2,3,8,9,11,12,13,4,5,10
1,8,7,2,0,4,5,6,9,13,3,11,12,10
1,8,10,2,0,4,5,6,7,9,13,3,12,11
1,9,7,0,2,3,6,8,11,12,13,4,5,10
1,9,10,2,5,7,13,3,8,11,4,0,6,12
1,11,7,0,2,3,6,8,9,12,13,4,5,10
