0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"(0, 2)","(0, 9)","(0, 10)","(0, 11)","(0, 14)","(1, 3)","(1, 4)","(1, 8)","(1, 9)","(1, 13)","(2, 5)","(2, 6)","(2, 7)","(2, 8)","(2, 9)","(2, 11)","(2, 14)","(3, 10)","(3, 14)","(4, 5)","(4, 8)","(4, 9)","(4, 10)","(4, 14)","(5, 7)","(5, 8)","(6, 7)","(6, 14)","(7, 12)","(7, 13)","(8, 11)","(9, 11)","(9, 12)","(10, 12)","(10, 14)","(11, 13)","(13, 14)"
96,36
4,0,9,10,14,12,2,7,5,8,6,13,11,1,3
6,0,2,14
12,0,9,10,4,14,2,7,5,8,6,13,1,11,3
0,2,1,9,8,4,11,10,14,5,13,3,12,7,6
0,3,10,14,1,9,4,13,12,2,11,7,8,5,6
0,5,2,6,14,7,4,13,9,10,8,1,11,12,3
0,6,2,14,1,9,8,7,13,3,4,11,12,5,10
0,7,2,4,9,10,14,5,8,12,1,11,6,13,3
0,8,2,11,4,9,10,14,5,1,12,13,3,7,6
1,3,2,8,9,14,4,11,0,13,10,5,7,12,6
1,4,2,8,9,5,14,11,0,3,13,10,7,12,6
1,8,2,9,4,11,5,14,13,7,3,0,12,6,10
2,10,0,14,1,8,9,3,4,13,11,12,5,7,6
2,12,7,9,5,4,8,14,10,1,11,6,13,0,3
3,6,14,0,10,2
6,0,2,14,10,1,8,9,7,13,3,4,11,5,12
9,4,0,10,14,12,2,7,5,8,6,13,1,11,3
9,6,2,5,4,7,14,8,12,0,13,10,1,11,3
9,12,0,10,4,14,2,7,5,8,6,13,1,11,3
10,0,1,3,4,9,14,12,13,2,11,7,8,5,6
11,0,1,8,9,13,2,4,14,7,5,10,3,12,6
11,5,2,8
11,8,0,2
13,1,2,7,11,14,8,9,6,5,12,0,3,4,10
13,5,7,11,2,8,14,1,4,6,0,3,9,10,12
14,0,1,3,4,13,9,10,11,2,12,8,5,7,6
0,2,3,10,14,5,1,4,8,9,13,11,12,7,6
0,9,2,10,4,12,14,5,8,7,11,1,6,13,3
0,9,11,1,8,13,2,4,14,7,5,10,3,12,6
2,5,6,7,4,8,9,14,1,11,12,0,13,3,10
2,7,8,5,4,9,14,12,1,11,0,6,13,10,3
2,8,6,4,5,9,14,7,1,11,0,12,13,3,10
2,11,0,4,5,8,9,14,10,1,12,13,3,7,6
2,14,0,1,8,9,3,4,13,11,10,5,7,12,6
3,10,12,13,1,14,7,4,9,2,6,5,8,0,11
13,7,12,4,1,14,5,9,10,3,8,2,6,0,11
