0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"(0, 1)","(0, 2)","(0, 3)","(0, 4)","(0, 6)","(0, 7)","(0, 9)","(0, 10)","(0, 11)","(0, 12)","(0, 13)","(0, 14)","(0, 15)","(1, 2)","(1, 3)","(1, 4)","(1, 6)","(1, 7)","(1, 8)","(1, 9)","(1, 10)","(1, 11)","(1, 12)","(1, 13)","(1, 14)","(1, 15)","(2, 3)","(2, 4)","(2, 5)","(2, 6)","(2, 7)","(2, 8)","(2, 9)","(2, 11)","(2, 12)","(2, 13)","(2, 14)","(2, 15)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(3, 8)","(3, 9)","(3, 10)","(3, 11)","(3, 12)","(3, 13)","(3, 14)","(3, 15)","(4, 5)","(4, 6)","(4, 7)","(4, 8)","(4, 9)","(4, 10)","(4, 11)","(4, 12)","(4, 13)","(4, 14)","(4, 15)","(5, 6)","(5, 7)","(5, 8)","(5, 9)","(5, 10)","(5, 11)","(5, 12)","(5, 13)","(5, 14)","(6, 7)","(6, 8)","(6, 10)","(6, 12)","(6, 13)","(6, 14)","(6, 15)","(7, 8)","(7, 9)","(7, 10)","(7, 11)","(7, 12)","(7, 13)","(7, 14)","(7, 15)","(8, 9)","(8, 10)","(8, 11)","(8, 12)","(8, 13)","(8, 14)","(8, 15)","(9, 11)","(9, 12)","(9, 13)","(9, 14)","(9, 15)","(10, 11)","(10, 12)","(10, 13)","(10, 14)","(10, 15)","(11, 12)","(11, 14)","(11, 15)","(12, 13)","(12, 14)","(12, 15)","(13, 14)","(13, 15)","(14, 15)"
8773,3842
5,1,2,3,4,6,7,8,9,10,11,12,13,14,0,15
8,0,1,2,3,4,6,7,9,10,11,12,13,14,15,5
1,8,0,2,3,4,6,7,9,10,11,12,13,14,15,5
2,5,1,3,4,6,7,8,9,10,11,12,13,14,0,15
2,8,0,1,3,4,6,7,9,10,11,12,13,14,15,5
3,5,1,2,4,6,7,8,9,10,11,12,13,14,0,15
3,8,0,1,2,4,6,7,9,10,11,12,13,14,15,5
4,5,1,2,3,6,7,8,9,10,11,12,13,14,0,15
4,8,0,1,2,3,6,7,9,10,11,12,13,14,15,5
6,5,1,2,3,4,7,8,9,10,11,12,13,14,0,15
6,8,0,1,2,3,4,7,9,10,11,12,13,14,15,5
7,5,1,2,3,4,6,8,9,10,11,12,13,14,0,15
7,8,0,1,2,3,4,6,9,10,11,12,13,14,15,5
9,5,1,2,3,4,6,7,8,10,11,12,13,14,0,15
9,8,0,1,2,3,4,6,7,10,11,12,13,14,15,5
10,5,2,0,1,3,4,6,7,8,11,12,13,14,15,9
10,8,0,1,2,3,4,6,7,9,11,12,13,14,15,5
11,5,1,2,3,4,6,7,8,9,10,12,13,14,0,15
11,8,0,1,2,3,4,6,7,9,10,12,13,14,15,5
12,5,1,2,3,4,6,7,8,9,10,11,13,14,0,15
12,8,0,1,2,3,4,6,7,9,10,11,13,14,15,5
13,5,1,2,3,4,6,7,8,9,10,11,12,14,0,15
13,8,0,1,2,3,4,6,7,9,10,11,12,14,15,5
14,5,1,2,3,4,6,7,8,9,10,11,12,13,0,15
14,8,0,1,2,3,4,6,7,9,10,11,12,13,15,5
15,8,0,1,2,3,4,6,7,9,10,11,12,13,14,5
0,1,10,2,3,4,5,6,7,8,11,12,13,14,15,9
1,2,8,0,3,4,6,7,9,10,11,12,13,14,15,5
1,3,8,0,2,4,6,7,9,10,11,12,13,14,15,5
1,4,8,0,2,3,6,7,9,10,11,12,13,14,15,5
1,6,8,0,2,3,4,7,9,10,11,12,13,14,15,5
1,7,8,0,2,3,4,6,9,10,11,12,13,14,15,5
1,9,8,0,2,3,4,6,7,10,11,12,13,14,15,5
1,10,8,2,0,3,4,5,6,7,11,12,13,14,15,9
1,11,8,0,2,3,4,6,7,9,10,12,13,14,15,5
1,12,8,0,2,3,4,6,7,9,10,11,13,14,15,5
1,13,8,0,2,3,4,6,7,9,10,11,12,14,15,5
1,14,8,0,2,3,4,6,7,9,10,11,12,13,15,5
1,15,8,0,2,3,4,6,7,9,10,11,12,13,14,5
2,3,5,1,4,6,7,8,9,10,11,12,13,14,0,15
2,3,8,0,1,4,6,7,9,10,11,12,13,14,15,5
2,4,5,1,3,6,7,8,9,10,11,12,13,14,0,15
2,4,8,0,1,3,6,7,9,10,11,12,13,14,15,5
2,6,5,1,3,4,7,8,9,10,11,12,13,14,0,15
2,6,8,0,1,3,4,7,9,10,11,12,13,14,15,5
2,7,5,1,3,4,6,8,9,10,11,12,13,14,0,15
2,7,8,0,1,3,4,6,9,10,11,12,13,14,15,5
2,9,5,1,3,4,6,7,8,10,11,12,13,14,0,15
2,9,8,0,1,3,4,6,7,10,11,12,13,14,15,5
2,11,5,1,3,4,6,7,8,9,10,12,13,14,0,15
2,11,8,0,1,3,4,6,7,9,10,12,13,14,15,5
2,12,5,1,3,4,6,7,8,9,10,11,13,14,0,15
2,12,8,0,1,3,4,6,7,9,10,11,13,14,15,5
2,13,5,1,3,4,6,7,8,9,10,11,12,14,0,15
2,13,8,0,1,3,4,6,7,9,10,11,12,14,15,5
2,14,5,1,3,4,6,7,8,9,10,11,12,13,0,15
2,14,8,0,1,3,4,6,7,9,10,11,12,13,15,5
2,15,8,0,1,3,4,6,7,9,10,11,12,13,14,5
3,4,5,1,2,6,7,8,9,10,11,12,13,14,0,15
3,4,8,0,1,2,6,7,9,10,11,12,13,14,15,5
3,6,5,1,2,4,7,8,9,10,11,12,13,14,0,15
3,6,8,0,1,2,4,7,9,10,11,12,13,14,15,5
3,7,5,1,2,4,6,8,9,10,11,12,13,14,0,15
3,7,8,0,1,2,4,6,9,10,11,12,13,14,15,5
3,9,5,1,2,4,6,7,8,10,11,12,13,14,0,15
3,9,8,0,1,2,4,6,7,10,11,12,13,14,15,5
3,10,5,2,0,1,4,6,7,8,11,12,13,14,15,9
3,10,8,0,1,2,4,6,7,9,11,12,13,14,15,5
3,11,5,1,2,4,6,7,8,9,10,12,13,14,0,15
3,11,8,0,1,2,4,6,7,9,10,12,13,14,15,5
3,12,5,1,2,4,6,7,8,9,10,11,13,14,0,15
3,12,8,0,1,2,4,6,7,9,10,11,13,14,15,5
3,13,5,1,2,4,6,7,8,9,10,11,12,14,0,15
3,13,8,0,1,2,4,6,7,9,10,11,12,14,15,5
3,14,5,1,2,4,6,7,8,9,10,11,12,13,0,15
3,14,8,0,1,2,4,6,7,9,10,11,12,13,15,5
3,15,8,0,1,2,4,6,7,9,10,11,12,13,14,5
4,6,5,1,2,3,7,8,9,10,11,12,13,14,0,15
4,6,8,0,1,2,3,7,9,10,11,12,13,14,15,5
4,7,5,1,2,3,6,8,9,10,11,12,13,14,0,15
4,7,8,0,1,2,3,6,9,10,11,12,13,14,15,5
4,9,5,1,2,3,6,7,8,10,11,12,13,14,0,15
4,9,8,0,1,2,3,6,7,10,11,12,13,14,15,5
4,10,5,2,0,1,3,6,7,8,11,12,13,14,15,9
4,10,8,0,1,2,3,6,7,9,11,12,13,14,15,5
4,11,5,1,2,3,6,7,8,9,10,12,13,14,0,15
4,11,8,0,1,2,3,6,7,9,10,12,13,14,15,5
4,12,5,1,2,3,6,7,8,9,10,11,13,14,0,15
4,12,8,0,1,2,3,6,7,9,10,11,13,14,15,5
4,13,5,1,2,3,6,7,8,9,10,11,12,14,0,15
4,13,8,0,1,2,3,6,7,9,10,11,12,14,15,5
4,14,5,1,2,3,6,7,8,9,10,11,12,13,0,15
4,14,8,0,1,2,3,6,7,9,10,11,12,13,15,5
4,15,8,0,1,2,3,6,7,9,10,11,12,13,14,5
6,7,5,1,2,3,4,8,9,10,11,12,13,14,0,15
6,7,8,0,1,2,3,4,9,10,11,12,13,14,15,5
6,10,5,2,0,1,3,4,7,8,11,12,13,14,15,9
6,10,8,0,1,2,3,4,7,9,11,12,13,14,15,5
6,12,5,1,2,3,4,7,8,9,10,11,13,14,0,15
6,12,8,0,1,2,3,4,7,9,10,11,13,14,15,5
6,13,5,1,2,3,4,7,8,9,10,11,12,14,0,15
6,13,8,0,1,2,3,4,7,9,10,11,12,14,15,5
6,14,5,1,2,3,4,7,8,9,10,11,12,13,0,15
