0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"(0, 1)","(0, 4)","(0, 5)","(0, 6)","(0, 7)","(0, 9)","(0, 10)","(0, 14)","(1, 3)","(1, 4)","(1, 6)","(1, 8)","(1, 10)","(1, 12)","(1, 13)","(2, 3)","(2, 6)","(2, 8)","(2, 9)","(2, 15)","(2, 16)","(3, 4)","(3, 5)","(3, 6)","(3, 8)","(3, 9)","(3, 10)","(3, 12)","(3, 15)","(4, 6)","(4, 7)","(4, 11)","(4, 12)","(4, 13)","(4, 14)","(4, 16)","(5, 7)","(5, 9)","(5, 11)","(5, 12)","(5, 13)","(5, 16)","(6, 7)","(6, 8)","(6, 9)","(6, 10)","(6, 11)","(6, 13)","(7, 8)","(7, 10)","(7, 12)","(7, 15)","(8, 10)","(8, 11)","(8, 12)","(8, 13)","(8, 14)","(9, 13)","(9, 14)","(10, 11)","(10, 14)","(10, 15)","(11, 12)","(11, 13)","(11, 15)","(12, 14)","(12, 15)","(12, 16)","(13, 14)","(13, 15)","(13, 16)","(14, 15)","(14, 16)","(15, 16)"
156,83
3,0,1,4,5,6,9,10,12,13,7,11,16,14,8,15,2
8,0,1,6,7,10,14,4,12,13,9,15,3,11,16,5,2
11,3,4,5,6,8,10,12,15,0,7,13,16,1,14,9,2
12,0,1,4,5,7,14,3,13,6,8,10,11,16,9,15,2
13,0,1,4,5,6,9,14,3,12,8,10,7,11,16,15,2
15,1,3,10,12,13,4,5,6,8,9,7,11,14,16,0,2
16,1,4,12,13,5,8,11,14,15,0,3,7,9,2,6,10
0,1,3,4,5,6,9,10,7,11,12,13,16,14,8,15,2
0,5,6,3,7,9,11,13,1,4,10,8,12,15,14,16,2
1,3,0,4,5,6,9,10,7,11,12,13,16,14,8,15,2
2,3,0,6,9,1,4,5,10,7,11,13,14,8,12,16,15
4,3,0,1,5,6,9,10,12,13,7,11,16,14,8,15,2
4,11,5,0,3,7,12,13,16,6,10,1,9,14,8,15,2
4,12,0,1,5,7,14,3,13,6,8,10,11,16,9,15,2
4,13,0,1,5,6,9,14,3,12,8,10,7,11,16,15,2
4,16,11,5,12,13,15,0,3,7,1,8,14,6,10,9,2
5,3,8,7,11,12,13,4,6,10,15,1,14,16,9,0,2
5,11,10,0,3,7,4,6,1,9,8,12,15,13,16,14,2
5,12,2,3,9,16,8,15,4,14,13,6,7,11,10,0,1
5,13,8,3,7,11,12,1,4,6,9,15,10,14,16,0,2
5,16,11,4,12,13,15,0,3,7,14,1,8,6,10,9,2
6,3,0,1,4,5,9,10,12,13,7,11,16,14,8,15,2
6,8,0,1,7,10,14,4,12,13,15,9,3,11,16,5,2
6,11,3,4,5,8,10,12,15,0,7,13,16,1,14,9,2
