0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
"(0, 1)","(0, 2)","(0, 3)","(0, 4)","(0, 5)","(0, 6)","(0, 7)","(0, 8)","(0, 9)","(0, 10)","(0, 11)","(0, 12)","(0, 13)","(0, 14)","(0, 15)","(0, 16)","(0, 17)","(1, 2)","(1, 3)","(1, 4)","(1, 5)","(1, 6)","(1, 7)","(1, 9)","(1, 10)","(1, 11)","(1, 12)","(1, 13)","(1, 14)","(1, 15)","(1, 16)","(1, 17)","(2, 3)","(2, 4)","(2, 5)","(2, 6)","(2, 7)","(2, 8)","(2, 10)","(2, 12)","(2, 13)","(2, 14)","(2, 15)","(2, 16)","(2, 17)","(3, 4)","(3, 5)","(3, 6)","(3, 8)","(3, 9)","(3, 10)","(3, 11)","(3, 12)","(3, 13)","(3, 14)","(3, 15)","(3, 16)","(3, 17)","(4, 5)","(4, 7)","(4, 8)","(4, 10)","(4, 12)","(4, 13)","(4, 14)","(4, 15)","(4, 16)","(4, 17)","(5, 9)","(5, 10)","(5, 11)","(5, 12)","(5, 14)","(5, 16)","(5, 17)","(6, 7)","(6, 8)","(6, 9)","(6, 10)","(6, 11)","(6, 12)","(6, 14)","(6, 15)","(6, 16)","(6, 17)","(7, 8)","(7, 9)","(7, 10)","(7, 11)","(7, 12)","(7, 13)","(7, 14)","(7, 15)","(7, 16)","(7, 17)","(8, 10)","(8, 11)","(8, 12)","(8, 13)","(8, 14)","(8, 15)","(8, 17)","(9, 10)","(9, 14)","(9, 16)","(9, 17)","(10, 13)","(10, 14)","(10, 16)","(10, 17)","(11, 12)","(11, 13)","(11, 14)","(11, 15)","(11, 16)","(12, 13)","(12, 14)","(12, 15)","(13, 15)","(13, 16)","(13, 17)","(14, 15)","(14, 16)","(15, 16)","(15, 17)","(16, 17)"
4277,796
0,8,1,2,3,4,6,7,10,11,12,13,14,15,17,5,16,9
0,1,9,2,3,5,6,7,10,14,16,17,4,8,11,12,13,15
0,1,11,2,3,5,6,7,8,12,13,14,15,16,4,9,10,17
0,2,8,1,3,4,6,7,10,11,12,13,14,15,17,9,16,5
0,3,8,1,2,4,6,7,10,11,12,13,14,15,17,5,16,9
0,4,8,1,2,3,6,7,10,11,12,13,14,15,17,5,16,9
0,6,8,1,2,3,4,7,10,11,12,13,14,15,17,5,16,9
0,7,8,1,2,3,4,6,10,11,12,13,14,15,17,5,16,9
0,10,8,1,2,3,4,6,7,11,12,13,14,15,17,5,16,9
0,11,8,2,1,3,5,6,7,12,13,14,15,16,4,10,17,9
0,12,8,1,2,3,4,6,7,10,11,13,14,15,17,5,16,9
0,13,8,1,2,3,4,6,7,10,11,12,14,15,17,5,16,9
0,14,8,1,2,3,4,6,7,10,11,12,13,15,17,5,16,9
0,15,8,1,2,3,4,6,7,10,11,12,13,14,17,5,16,9
0,17,8,1,2,3,4,6,7,10,11,12,13,14,15,5,16,9
0,1,2,7,3,4,6,8,9,10,11,12,13,14,15,16,17,5
0,1,3,9,4,5,7,10,14,16,17,2,11,12,6,8,13,15
0,1,3,11,4,5,7,8,12,13,14,15,16,2,9,10,17,6
0,1,5,9,2,3,6,7,10,14,16,17,4,8,11,12,13,15
0,1,5,11,2,3,6,7,8,12,13,14,15,16,4,9,10,17
0,1,6,9,2,3,5,7,10,14,16,17,4,8,11,12,13,15
0,1,6,11,2,3,5,7,8,12,13,14,15,16,4,9,10,17
0,1,7,9,5,2,4,10,11,12,14,16,17,3,6,8,13,15
0,1,7,11,5,2,4,9,10,12,14,16,17,3,6,8,13,15
0,1,10,9,2,3,5,6,7,14,16,17,4,8,11,12,13,15
0,1,12,11,2,3,5,6,7,8,13,14,15,16,4,9,10,17
0,1,13,11,2,3,5,6,7,8,12,14,15,16,4,9,10,17
0,1,14,9,2,3,5,6,7,10,16,17,4,8,11,12,13,15
0,1,14,11,2,3,5,6,7,8,12,13,15,16,4,9,10,17
0,1,15,11,2,3,5,6,7,8,12,13,14,16,4,9,10,17
0,1,16,9,2,3,5,6,7,10,14,17,4,8,11,12,13,15
0,1,16,11,2,3,5,6,7,8,12,13,14,15,4,9,10,17
0,1,17,9,2,3,5,6,7,10,14,16,4,8,11,12,13,15
0,2,3,8,1,4,6,7,10,11,12,13,14,15,17,16,5,9
0,2,4,8,1,3,6,7,10,11,12,13,14,15,17,9,16,5
0,2,6,8,1,3,4,7,10,11,12,13,14,15,17,9,16,5
0,2,7,8,3,1,4,6,9,10,11,12,13,14,15,16,17,5
0,2,10,8,1,3,4,6,7,11,12,13,14,15,17,9,16,5
0,2,12,8,1,3,4,6,7,10,11,13,14,15,17,9,16,5
0,2,13,8,1,3,4,6,7,10,11,12,14,15,17,9,16,5
