0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
"(0, 2)","(0, 3)","(0, 4)","(0, 7)","(0, 8)","(0, 9)","(0, 10)","(0, 11)","(0, 12)","(0, 13)","(0, 14)","(0, 15)","(0, 16)","(0, 17)","(0, 18)","(1, 2)","(1, 4)","(1, 5)","(1, 6)","(1, 9)","(1, 10)","(1, 12)","(1, 13)","(1, 14)","(1, 15)","(1, 16)","(2, 3)","(2, 5)","(2, 6)","(2, 8)","(2, 9)","(2, 10)","(2, 11)","(2, 12)","(2, 13)","(2, 15)","(2, 16)","(2, 18)","(3, 4)","(3, 6)","(3, 7)","(3, 8)","(3, 9)","(3, 13)","(3, 14)","(3, 16)","(3, 17)","(3, 18)","(4, 5)","(4, 6)","(4, 7)","(4, 12)","(4, 14)","(4, 15)","(5, 6)","(5, 7)","(5, 9)","(5, 10)","(5, 11)","(5, 12)","(5, 13)","(5, 14)","(5, 16)","(5, 18)","(6, 7)","(6, 9)","(6, 11)","(6, 12)","(6, 13)","(6, 15)","(6, 17)","(7, 8)","(7, 9)","(7, 10)","(7, 11)","(7, 12)","(7, 13)","(7, 15)","(7, 16)","(7, 17)","(8, 9)","(8, 12)","(8, 13)","(9, 10)","(9, 14)","(9, 16)","(10, 11)","(10, 13)","(10, 14)","(10, 15)","(10, 16)","(10, 17)","(11, 13)","(11, 14)","(11, 15)","(11, 17)","(11, 18)","(12, 14)","(12, 15)","(12, 16)","(12, 18)","(13, 15)","(14, 16)","(14, 17)","(15, 16)","(15, 17)","(15, 18)","(16, 18)"
658,415
0,1,2,4,9,10,12,13,14,15,16,3,5,6,11,7,8,17,18
1,0,2,4,9,10,12,13,14,15,16,3,5,6,11,7,8,17,18
5,0,2,4,7,9,10,11,12,13,14,16,18,1,3,6,15,8,17
6,0,2,3,4,7,9,11,12,13,15,17,1,5,8,10,16,14,18
0,2,1,4,9,10,12,13,14,15,16,3,5,6,7,8,11,17,18
1,2,4,0,3,5,6,12,15,9,10,13,14,16,7,11,18,17,8
2,5,0,4,7,9,10,11,12,13,14,16,18,1,3,6,15,8,17
2,6,0,3,4,7,9,11,12,13,15,17,14,18,8,16,1,5,10
3,0,1,2,4,6,9,13,14,16,10,12,15,5,11,7,17,8,18
3,6,1,2,4,9,13,14,16,0,5,12,15,10,11,7,8,17,18
4,0,2,1,3,5,6,12,15,9,10,13,14,16,7,18,8,17,11
4,1,3,2,6,9,13,14,16,0,5,12,15,10,11,17,7,8,18
4,5,0,2,7,9,10,11,12,13,14,16,18,1,3,6,15,8,17
4,6,0,2,3,7,9,11,12,13,15,17,1,5,8,10,16,14,18
5,1,0,2,4,7,9,10,11,12,13,14,16,18,15,3,6,8,17
6,1,0,2,3,4,7,9,11,12,13,15,17,10,14,16,5,8,18
7,0,2,3,5,6,8,9,10,11,12,13,15,16,4,14,18,17,1
7,5,3,2,4,6,9,13,14,16,18,0,8,10,11,12,15,1,17
7,6,2,0,3,5,8,9,10,11,12,13,15,16,4,17,14,18,1
8,0,1,2,9,12,13,4,10,14,15,16,3,5,6,11,7,17,18
9,0,1,2,4,10,12,13,14,15,16,3,5,6,11,7,8,17,18
9,1,0,2,4,10,12,13,14,15,16,3,5,6,11,7,8,17,18
9,5,0,2,4,7,10,11,12,13,14,16,18,1,3,6,15,8,17
9,6,0,2,3,4,7,11,12,13,15,17,1,5,8,10,16,14,18
10,0,1,2,4,9,12,13,14,15,16,3,5,6,11,7,8,17,18
10,1,0,2,4,9,12,13,14,15,16,3,5,6,11,7,8,17,18
10,5,0,2,4,7,9,11,12,13,14,16,18,1,3,6,15,8,17
11,0,1,2,5,6,10,13,14,15,4,9,12,16,3,7,18,17,8
11,5,1,2,6,10,13,14,15,0,3,9,12,16,7,17,4,18,8
11,6,1,2,5,10,13,14,15,0,3,9,12,16,4,7,18,17,8
12,0,1,2,4,9,10,13,14,15,16,3,5,6,11,7,8,17,18
12,1,0,2,4,9,10,13,14,15,16,3,5,6,11,7,8,17,18
12,5,0,2,4,7,9,10,11,13,14,16,18,1,3,6,15,8,17
12,6,0,2,3,4,7,9,11,13,15,17,1,5,8,10,16,14,18
13,0,1,2,4,9,10,12,14,15,16,3,5,6,11,7,8,17,18
13,1,0,2,4,9,10,12,14,15,16,3,5,6,11,7,8,17,18
13,5,0,2,4,7,9,10,11,12,14,16,18,1,3,6,15,8,17
13,6,0,2,3,4,7,9,11,12,15,17,1,5,8,10,16,14,18
14,0,2,1,3,5,9,10,11,12,16,4,13,15,6,7,18,17,8
14,1,3,2,4,6,9,13,16,0,5,10,11,12,15,7,17,8,18
14,5,0,2,4,7,9,10,11,12,13,16,18,1,3,6,15,8,17
15,0,1,2,4,9,10,12,13,14,16,3,5,6,11,7,8,17,18
15,1,0,2,4,9,10,12,13,14,16,3,5,6,11,7,8,17,18
15,6,0,2,3,4,7,9,11,12,13,17,1,5,8,10,16,18,14
16,0,1,2,4,9,10,12,13,14,15,3,5,6,11,7,8,17,18
16,1,0,2,4,9,10,12,13,14,15,3,5,6,11,7,8,17,18
16,5,0,2,4,7,9,10,11,12,13,14,18,1,3,6,15,8,17
17,0,2,3,6,10,11,15,7,9,13,14,16,18,4,12,1,5,8
17,6,2,0,3,10,11,15,4,7,9,12,13,14,16,18,1,5,8
18,0,1,2,5,12,15,16,4,9,10,13,14,3,6,11,7,8,17
18,5,1,2,12,15,16,4,6,7,10,11,13,0,3,14,9,17,8
0,2,3,7,5,6,8,9,10,11,12,13,15,16,4,14,18,1,17
1,2,5,4,0,3,6,12,15,9,10,13,14,16,7,11,18,17,8
2,3,6,8,7,9,12,13,0,5,10,11,15,16,1,14,4,18,17
2,6,1,4,0,3,5,12,15,7,9,11,13,17,10,14,16,18,8
2,8,0,1,9,12,13,4,10,14,15,16,5,6,7,3,11,17,18
2,8,12
2,9,0,1,4,10,12,13,14,15,16,3,5,6,7,8,11,17,18
2,9,1,4,0,3,5,6,12,15,7,14,10,13,16,11,18,17,8
2,9,5,0,4,7,10,11,12,13,14,16,18,1,3,6,15,8,17
2,9,6,0,3,4,7,11,12,13,15,17,14,18,8,16,1,5,10
2,10,0,8,7,9,13,3,5,6,11,12,15,16,1,14,17,4,18
2,10,1,4,0,3,5,6,12,15,7,14,9,13,16,11,18,17,8
2,10,5,0,4,7,9,11,12,13,14,16,18,1,3,6,15,8,17
2,11,0,9,5,6,7,10,14,4,12,13,16,18,3,15,17,1,8
2,11,5,4,0,1,3,6,12,15,7,14,9,10,13,16,18,17,8
2,11,6,4,0,1,3,5,12,15,7,14,9,13,17,10,16,18,8
2,12,0,7,3,5,6,8,9,10,11,13,15,16,4,14,18,17,1
2,12,1,4,0,3,5,6,15,9,10,13,14,16,7,11,18,17,8
2,12,5,0,4,7,9,10,11,13,14,16,18,1,3,6,15,8,17
2,12,6,0,3,4,7,9,11,13,15,17,8,14,16,18,1,5,10
2,13,0,1,4,9,10,12,14,15,16,3,5,6,7,8,11,17,18
2,13,1,4,0,3,5,6,12,15,7,9,10,14,16,11,18,17,8
2,13,5,0,4,7,9,10,11,12,14,16,18,1,3,6,15,8,17
2,13,6,0,3,4,7,9,11,12,15,17,14,18,8,16,1,5,10
2,15,0,9,1,6,7,10,16,4,12,13,14,5,3,11,17,8,18
2,15,1,5,4,6,7,10,11,12,13,16,18,0,3,14,9,17,8
2,15,6,0,3,4,7,9,11,12,13,17,16,18,14,8,1,5,10
2,16,0,1,4,9,10,12,13,14,15,3,5,6,7,8,11,17,18
2,16,1,4,0,3,5,6,12,15,7,14,9,10,13,11,18,17,8
2,16,5,0,4,7,9,10,11,12,13,14,18,1,3,6,15,8,17
2,18,0,1,5,12,15,16,4,9,10,13,14,7,11,6,8,17,3
2,18,5,10,0,11,15,16,4,7,9,12,13,14,1,6,3,8,17
3,4,0,6,2,7,9,11,12,13,15,17,1,5,8,10,16,14,18
3,4,6,5,2,7,9,13,14,16,18,0,1,12,15,8,10,11,17
3,4,14
3,7,0,2,5,6,8,9,10,11,12,13,15,16,4,14,18,1,17
3,7,6,2,0,5,8,9,10,11,12,13,15,16,4,17,14,18,1
3,8,0,1,2,4,6,9,13,14,16,12,10,15,5,11,7,17,18
3,9,0,1,2,4,6,13,14,16,10,12,15,5,11,7,17,8,18
3,9,6,1,2,4,13,14,16,0,5,12,15,10,11,7,8,17,18
3,13,0,1,2,4,6,9,14,16,10,12,15,5,11,7,17,8,18
3,13,6,1,2,4,9,14,16,0,5,12,15,10,11,7,8,17,18
3,14,0,2,1,5,9,10,11,12,16,4,6,13,15,7,18,8,17
3,14,17
3,16,0,1,2,4,6,9,13,14,10,12,15,5,11,7,17,8,18
3,17,0,6,2,4,7,9,11,12,13,15,10,1,5,8,16,14,18
3,17,6,5,2,4,7,9,13,14,16,18,10,11,0,15,1,12,8
3,18,0,1,2,4,6,9,13,14,16,5,12,15,10,11,7,17,8
4,1,5,3,2,6,9,13,14,16,7,18,0,12,15,10,11,8,17
4,6,1,3,2,9,13,14,16,0,5,12,15,10,11,7,8,17,18
4,7,0,2,1,3,5,6,12,15,8,9,10,11,13,16,14,18,17
4,7,5,3,2,6,9,13,14,16,18,0,1,12,15,8,10,11,17
4,7,6,2,0,1,3,5,12,15,8,9,10,11,13,16,17,14,18
4,12,0,6,2,3,7,9,11,13,15,17,1,5,8,10,16,14,18
4,12,1,3,0,2,6,7,8,14,16,18,9,13,10,15,11,17,5
4,12,5,0,2,7,9,10,11,13,14,16,18,1,3,6,15,8,17
4,12,6,0,2,3,7,9,11,13,15,17,1,5,8,10,16,14,18
4,14,0,2,1,3,5,6,12,15,9,10,11,16,13,7,18,8,17
4,14,1,3,2,6,9,13,16,0,5,12,15,10,11,17,7,8,18
4,14,5,0,2,7,9,10,11,12,13,16,18,1,3,6,15,8,17
4,15,0,6,2,3,7,9,11,12,13,17,1,5,8,10,16,18,14
4,15,1,5,2,6,7,10,11,12,13,16,18,0,3,8,9,17,14
4,15,6,0,2,3,7,9,11,12,13,17,1,5,8,10,16,18,14
7,8,0,2,3,5,6,9,10,11,12,13,15,16,4,14,18,17,1
7,8,12
7,9,0,2,3,5,6,8,10,11,12,13,15,16,4,14,18,17,1
7,9,5,4,0,1,3,6,14,2,10,11,12,13,16,18,15,17,8
