0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
"(0, 1)","(0, 5)","(0, 7)","(0, 9)","(0, 10)","(0, 11)","(0, 12)","(0, 13)","(0, 16)","(0, 19)","(1, 2)","(1, 4)","(1, 5)","(1, 8)","(1, 9)","(1, 10)","(1, 19)","(2, 4)","(2, 5)","(2, 7)","(2, 9)","(2, 11)","(2, 14)","(2, 15)","(2, 16)","(2, 17)","(2, 18)","(2, 19)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(3, 8)","(3, 9)","(3, 17)","(3, 18)","(4, 5)","(4, 7)","(4, 9)","(4, 10)","(4, 11)","(4, 12)","(4, 14)","(4, 15)","(4, 16)","(4, 17)","(4, 19)","(5, 6)","(5, 9)","(5, 10)","(5, 11)","(5, 12)","(5, 13)","(5, 14)","(5, 15)","(5, 18)","(5, 19)","(6, 7)","(6, 8)","(6, 9)","(6, 14)","(6, 17)","(6, 18)","(7, 8)","(7, 9)","(7, 10)","(7, 12)","(7, 13)","(7, 14)","(7, 15)","(7, 16)","(7, 17)","(8, 9)","(8, 10)","(8, 12)","(8, 13)","(8, 15)","(8, 17)","(9, 10)","(9, 12)","(9, 13)","(9, 14)","(9, 16)","(9, 17)","(9, 18)","(9, 19)","(10, 11)","(10, 12)","(10, 16)","(11, 12)","(11, 14)","(11, 15)","(11, 16)","(11, 18)","(12, 13)","(12, 14)","(12, 15)","(12, 16)","(12, 17)","(12, 18)","(12, 19)","(13, 14)","(13, 15)","(13, 17)","(13, 18)","(13, 19)","(14, 16)","(14, 17)","(14, 18)","(15, 16)","(15, 17)","(15, 19)","(16, 17)","(16, 19)","(17, 19)"
593,433
2,0,1,5,7,9,11,16,19,4,8,10,3,6,12,13,14,15,17,18
3,2,4,5,7,9,17,18,11,12,14,0,6,10,13,15,19,16,8,1
4,0,1,5,7,9,10,11,12,16,19,2,8,3,6,13,14,15,17,18
6,2,5,7,9,14,17,18,0,3,4,10,12,13,15,19,1,11,16,8
8,0,1,7,9,10,12,13,2,4,5,19,15,17,11,16,14,18,3,6
14,0,5,7,9,11,12,13,16,2,3,4,6,10,15,19,18,17,1,8
15,1,2,4,5,8,19,7,9,17,3,10,12,6,13,0,14,16,18,11
17,1,2,4,8,9,19,7,15,3,10,12,13,0,16,5,11,18,14,6
18,0,5,9,11,12,13,2,4,10,14,16,15,1,7,19,17,3,8,6
0,1,4,5,7,9,10,11,12,16,19,2,3,6,13,14,15,8,17,18
0,7,8,1,9,10,12,13,2,4,5,19,11,16,15,17,14,18,3,6
0,11,4,1,5,7,9,10,12,16,19,2,8,3,6,13,14,15,17,18
0,12,4,1,5,7,9,10,11,16,19,8,2,3,6,13,14,15,17,18
0,13,4,1,5,7,9,10,11,12,16,19,14,15,17,8,2,3,6,18
0,16,6,5,7,9,14,17,2,4,10,11,12,15,19,3,13,1,18,8
1,2,3,4,5,8,9,7,17,18,10,12,15,11,14,6,13,0,19,16
1,4,0,5,7,9,10,11,12,16,19,2,3,6,13,14,15,8,17,18
1,8,7,0,2,4,9,10,12,13,5,11,16,19,15,17,3,14,18,6
3,4,2,5,7,9,17,18,0,6,10,12,13,14,15,19,11,1,16,8
5,2,0,1,7,9,11,16,19,4,8,10,3,6,12,13,14,15,17,18
5,3,2,4,7,9,17,18,11,12,14,0,6,10,13,15,19,16,8,1
5,4,0,1,7,9,10,11,12,16,19,2,8,3,6,13,14,15,17,18
5,6,2,7,9,14,17,18,0,3,4,10,12,13,15,19,1,11,16,8
5,14,0,7,9,11,12,13,16,2,3,4,6,10,15,18,17,19,1,8
5,15,1,2,4,8,19,7,9,17,3,10,12,6,13,0,14,16,18,11
5,18,0,9,11,12,13,2,4,10,14,16,15,1,7,19,17,3,8,6
6,3,4,5,7,9,14,17,0,2,10,12,13,15,19,18,1,11,16,8
7,2,3,4,5,9,17,18,11,12,14,0,6,10,13,15,19,16,8,1
7,3,2,4,5,9,17,18,11,12,14,0,6,10,13,15,19,16,8,1
7,4,1,0,2,8,9,10,5,11,12,16,19,13,15,17,3,6,14,18
7,6,2,5,9,14,17,18,0,3,4,10,12,13,15,19,1,11,16,8
7,8,2,1,9,15,17,0,4,10,5,19,12,13,16,11,3,14,6,18
7,14,1,0,2,4,8,9,10,5,11,12,13,16,19,15,17,3,6,18
7,15,1,0,2,4,8,9,10,5,19,11,12,13,16,17,3,6,14,18
7,17,1,0,2,4,8,9,10,19,12,13,16,5,11,15,3,14,18,6
9,2,0,1,5,7,11,16,19,4,8,10,3,6,12,13,14,15,17,18
9,3,2,4,5,7,17,18,11,12,14,0,6,10,13,15,19,16,8,1
9,4,0,1,5,7,10,11,12,16,19,2,8,3,6,13,14,15,17,18
9,6,2,5,7,14,17,18,0,3,4,10,12,13,15,19,1,11,16,8
9,8,0,1,7,10,12,13,2,4,5,19,15,17,11,16,14,18,3,6
9,14,0,5,7,11,12,13,16,2,3,4,6,10,15,19,18,17,1,8
9,17,1,2,4,8,19,7,15,3,10,12,13,0,16,5,11,18,14,6
9,18,0,5,11,12,13,2,4,10,14,16,15,1,7,19,17,3,8,6
10,4,0,1,5,7,9,11,12,16,19,2,8,3,6,13,14,15,17,18
10,8,0,1,7,9,12,13,2,4,5,19,11,16,15,17,14,18,3,6
11,2,3,4,5,18,7,9,17,12,14,0,6,10,13,15,19,16,8,1
11,4,1,0,2,5,10,7,9,12,16,19,14,15,8,3,6,13,17,18
11,14,1,0,2,4,5,10,9,7,12,13,16,19,18,15,8,3,6,17
11,15,1,0,2,4,5,10,8,19,7,12,13,16,9,17,3,6,14,18
11,18,1,0,2,4,5,10,9,12,13,7,16,19,3,14,8,15,17,6
12,4,3,5,7,8,9,17,18,0,2,6,10,13,14,15,1,19,11,16
12,8,6,5,7,9,14,17,18,1,3,10,13,15,0,2,4,19,11,16
12,14,3,4,5,7,8,9,17,18,6,1,10,15,2,11,0,13,19,16
12,15,3,4,5,7,8,9,17,18,1,10,2,11,14,0,6,13,19,16
12,17,3,4,5,7,8,9,18,1,10,15,2,11,14,6,13,19,0,16
12,18,4,2,3,5,9,11,14,7,15,16,17,19,8,6,0,10,13,1
13,8,6,5,7,9,14,17,18,1,3,10,12,15,0,2,4,19,11,16
13,14,4,5,7,9,12,15,17,19,0,2,3,6,10,16,8,11,1,18
13,15,4,5,7,9,12,14,17,19,0,2,3,6,10,16,8,11,1,18
13,17,6,5,7,8,9,14,18,2,3,4,12,15,19,0,10,1,11,16
13,18,4,5,7,9,12,14,15,17,19,2,3,11,0,6,10,16,8,1
15,2,3,4,5,7,8,17,9,18,1,10,12,11,14,0,6,13,19,16
16,2,3,4,7,9,17,5,18,11,12,14,0,6,10,13,15,19,8,1
16,4,1,0,2,9,10,19,5,7,11,12,14,15,3,6,13,8,17,18
17,2,3,4,5,7,9,18,11,12,14,6,13,15,19,0,10,16,8,1
19,2,0,1,5,7,9,11,16,4,8,10,3,6,12,13,14,15,17,18
19,4,0,1,5,7,9,10,11,12,16,2,8,3,6,13,14,15,17,18
19,15,1,2,4,5,8,7,9,17,3,10,12,6,13,0,16,14,18,11
19,17,1,2,4,8,9,7,15,3,10,12,13,0,16,5,11,18,14,6
0,1,5,8,7,9,10,12,13,3,6,15,2,4,14,16,17,19,11,18
0,5,11,9,2,4,10,12,14,16,18,1,7,19,15,17,3,13,8,6
0,5,12,8,1,7,9,10,13,3,6,15,4,19,2,14,16,17,11,18
0,5,13,8,1,7,9,10,12,3,6,15,19,2,4,14,16,17,11,18
0,7,9,8,1,10,12,13,2,4,5,19,11,16,15,17,14,18,3,6
0,9,1,4,5,7,10,11,12,16,19,2,3,6,13,14,15,8,17,18
0,9,12,4,1,5,7,10,11,16,19,8,2,3,6,13,14,15,17,18
0,9,13,4,1,5,7,10,11,12,16,19,14,15,17,8,2,3,6,18
0,9,16,6,5,7,14,17,2,4,10,11,12,15,19,3,13,1,18,8
0,10,1,4,5,7,9,11,12,16,19,2,3,6,13,14,15,8,17,18
0,10,7,8,1,9,12,13,2,4,5,19,11,16,15,17,14,18,3,6
0,10,11,4,1,5,7,9,12,16,19,2,8,3,6,13,14,15,17,18
0,10,12,4,1,5,7,9,11,16,19,8,2,3,6,13,14,15,17,18
0,10,16,6,5,7,9,8,14,17,2,4,11,12,15,19,3,13,1,18
0,16,7,8,1,9,10,12,13,15,17,2,4,19,5,11,14,18,3,6
0,19,1,4,5,7,9,10,11,12,16,2,3,6,13,14,15,17,8,18
0,19,12,4,1,5,7,9,10,11,16,8,2,3,6,13,14,15,17,18
0,19,13,4,1,5,7,9,10,11,12,16,14,15,17,8,2,3,6,18
0,19,16,8,1,7,9,10,12,13,15,17,2,4,5,11,14,18,3,6
1,2,4,3,5,8,9,7,17,18,6,10,12,13,15,0,14,19,11,16
1,5,2,3,4,8,9,7,17,18,10,12,15,11,14,6,13,0,19,16
1,5,4,0,7,9,10,11,12,16,19,2,8,3,6,13,14,15,17,18
1,8,9,7,0,2,4,10,12,13,5,11,16,19,15,17,3,14,18,6
1,9,2,3,4,5,8,7,17,18,10,12,15,11,14,6,13,0,19,16
1,9,4,0,5,7,10,11,12,16,19,2,3,6,13,14,15,8,17,18
