0,1,2,3,4,5,6,7
"(0, 1)","(0, 2)","(0, 4)","(0, 6)","(0, 7)","(1, 2)","(1, 3)","(1, 4)","(1, 6)","(1, 7)","(2, 3)","(2, 4)","(2, 5)","(2, 6)","(2, 7)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(4, 5)","(4, 7)","(5, 6)","(5, 7)","(6, 7)"
91,46
3,0,1,2,4,6,7,5
5,1,2,3,4,6,7,0
1,3,0,2,4,6,7,5
2,3,0,1,4,6,7,5
2,5,1,3,4,6,7,0
4,3,0,1,2,6,7,5
4,5,1,2,3,6,7,0
6,3,0,1,2,4,7,5
6,5,1,2,3,4,7,0
7,3,0,1,2,4,6,5
7,5,1,2,3,4,6,0
0,1,2,3,4,6,7,5
1,2,3,0,4,6,7,5
1,4,3,0,2,6,7,5
1,6,3,0,2,4,7,5
1,7,3,0,2,4,6,5
2,4,3,0,1,6,7,5
2,4,5,1,3,6,7,0
2,5,3,1,4,6,7,0
2,6,3,0,1,4,7,5
2,6,5,1,3,4,7,0
2,7,3,0,1,4,6,5
2,7,5,1,3,4,6,0
4,7,3,0,1,2,6,5
4,7,5,1,2,3,6,0
6,7,3,0,1,2,4,5
6,7,5,1,2,3,4,0
0,1,2,4,6,3,5,7
0,1,4,7
0,1,6,2,5,4,7,3
0,1,6,7
0,1,7,2,3,4,6,5
0,2,4,7
0,2,6,7
1,2,3,4,6,0,5,7
1,2,6,3,5,4,7,0
1,2,7,3,0,4,6,5
1,4,7,3,0,2,6,5
1,6,7,3,0,2,4,5
2,4,5,3,6,0,1,7
2,4,7,3,0,1,6,5
2,4,7,5,1,3,6,0
2,6,5,3,4,0,1,7
2,6,7,3,0,1,4,5
2,6,7,5,1,3,4,0
2,7,5,3,1,4,6,0
