0,1,2,3,4,5,6,7,8
"(0, 1)","(0, 2)","(0, 3)","(0, 4)","(0, 5)","(0, 6)","(1, 3)","(1, 4)","(1, 6)","(1, 8)","(2, 3)","(2, 4)","(2, 5)","(2, 6)","(2, 8)","(3, 5)","(3, 6)","(3, 7)","(4, 5)","(4, 7)","(4, 8)","(5, 6)","(5, 7)","(5, 8)","(6, 7)","(6, 8)","(7, 8)"
77,38
7,2,3,4,5,6,8,0,1
8,0,1,2,4,5,6,3,7
0,1,2,3,4,6,8,5,7
0,2,1,3,4,6,8,5,7
0,5,1,3,4,6,8,2,7
1,8,3,2,5,6,7,0,4
2,8,3,1,5,6,7,0,4
3,7,4,0,1,2,5,6,8
4,7,3,0,1,2,5,6,8
4,8,0,1,2,5,6,3,7
5,7,2,3,4,6,8,0,1
5,8,1,0,3,4,6,2,7
6,7,2,3,4,5,8,0,1
6,8,0,1,2,4,5,3,7
0,1,3,5,4,6,8,2,7
0,2,3,4,1,5,7,6,8
0,3,5,1,4,6,8,2,7
0,4,2,3,1,5,7,6,8
0,4,5,1,3,6,8,2,7
0,5,2,1,3,4,6,8,7
0,6,1,2,3,4,8,5,7
0,6,2,1,3,4,8,5,7
0,6,5,1,3,4,8,2,7
1,3,6
2,4,8,3,0,1,5,7,6
2,5,8,3,1,6,7,0,4
2,6,8,4,0,1,5,7,3
3,5,7,4,0,1,2,6,8
3,6,7,4,0,1,2,5,8
4,5,7,6,0,1,2,8,3
4,5,8,1,0,3,6,2,7
5,6,7,2,3,4,8,0,1
5,6,8,1,0,3,4,2,7
0,2,3,5,4,1,7,6,8
0,3,6,2,4,1,5,7,8
0,3,6,5,1,4,8,2,7
0,6,5,2,1,3,4,8,7
2,3,5,6
