0,1,2,3,4,5,6,7,8,9
"(0, 1)","(0, 9)","(0, 2)","(0, 8)","(1, 2)","(1, 3)","(2, 3)","(2, 4)","(3, 4)","(3, 5)","(4, 5)","(4, 6)","(5, 6)","(5, 7)","(6, 7)","(6, 8)","(6, 9)","(7, 8)","(7, 9)","(8, 9)"
65,24
3,0,2,1
4,1,3,2
5,0,4,2,3,6,8,7,9,1
0,3,1,2
0,6,9,8,1,5,3,4,2,7
0,7,9,8,5,1,3,2,6,4
1,3,0,2
1,5,3,0,4,2,6,8,7,9
2,3,0,1
2,5,3,4,0,6,8,7,9,1
6,3,5,4,1,2,8,0,9,7
6,4,0,8,9,2
7,3,5,2,6,4,8,0,9,1
7,4,6,5,2,8,0,9,3,1
7,5,2,6,4,8,0,9,3,1
7,4,6,5,8,3,0,1,2,9
7,4,6,5,9,3,0,1,2,8
8,5,7,6,3,4,0,1,2,9
8,5,7,6,9,3,4,0,1,2
9,5,7,6,3,0,1,2,4,8
1,2,8,0,7,9,3,5,4,6
1,2,9,0,7,8,3,5,4,6
1,8,0,9
2,4,3,0,1
