0,1,2,3,4,5,6,7,8,9,10
"(0, 1)","(0, 10)","(0, 4)","(0, 7)","(0, 2)","(0, 9)","(0, 5)","(1, 7)","(1, 6)","(1, 2)","(1, 8)","(1, 10)","(1, 4)","(2, 10)","(2, 7)","(2, 8)","(2, 9)","(2, 3)","(3, 8)","(3, 9)","(3, 10)","(4, 5)","(4, 8)","(4, 7)","(5, 9)","(5, 10)","(6, 8)","(6, 9)","(6, 7)","(7, 8)","(7, 9)","(8, 10)","(9, 10)"
96,45
3,1,8,10,2
6,0,9,1,7,10,2,8,4,3,5
8,0,7,2,4,1,10,9,5,6,3
0,3,10,2,9,4,8,5,1,7,6
0,5,1,4,10,8,7,2,9,6,3
0,9,1,6,10,2,7,8,4,3,5
1,6,3,2,8,10,9,7,0,4,5
1,8,0,7,2,4,10,9,5,6,3
2,5,10,0,9,1,4,6,7,8,3
2,8,0,7,4,1,10,9,5,6,3
4,5
4,8,0,7,2,1,10,9,5,6,3
7,6,0,9,1,10,2,8,4,3,5
7,8,0,2,4,1,10,5,9,6,3
9,3,0,10,2
9,6,4,5,0,7,8,1,10,2,3
10,3,1,8,2
10,8,0,7,2,4,1,9,5,6,3
0,1,2,6,7,9,8,10,3,4,5
0,1,4,6,7,9,8,10,2,5,3
0,1,10
0,2,9,1,6,10,7,8,4,3,5
0,4,5,6,1,7,9,8,10,2,3
0,7,9,1,6,10,2,8,4,3,5
0,10,5,1,4,8,7,2,9,6,3
0,10,9,1,6,2,7,8,4,3,5
1,2,8,0,7,4,10,9,5,6,3
1,7,6,3,2,8,10,9,0,4,5
1,7,8,0,2,4,10,5,9,6,3
1,10,8,0,7,2,4,9,5,6,3
2,3,8,0,9,10,7,4,1,6,5
2,7,8,0,4,1,10,5,9,6,3
2,7,9
2,9,3,0,10
2,10,8,0,7,4,1,9,5,6,3
4,7,8,0,2,1,10,5,9,6,3
4,8,1,5,10,0,7,2,9,6,3
5,9,0,1,4,10,6,2,7,8,3
9,10,3,0,2
0,10,2,9,1,6,7,8,4,3,5
1,4,7,8,5,0,10,9,2,6,3
1,10,2,8,0,7,4,9,5,6,3
2,9,3,10
2,10,3,8,0,9,7,4,1,6,5
5,9,10,0,1,4,6,2,7,8,3
