0,1,2,3,4,5,6,7,8,9,10,11
"(0, 2)","(0, 10)","(0, 8)","(1, 2)","(1, 9)","(1, 8)","(2, 3)","(2, 8)","(2, 5)","(2, 11)","(3, 7)","(3, 10)","(3, 11)","(3, 6)","(4, 6)","(4, 7)","(5, 9)","(6, 7)","(6, 8)","(7, 9)","(7, 11)","(8, 11)","(8, 9)","(9, 11)"
65,29
0,1,2,8
1,0,2,8
3,1,2
5,1,9,2,11,8
7,0,6,8,9,11,3,2,10,5,1
11,1,9,8,2,5
0,1,2,8,3,10,6,11,7,9,5
0,1,2,8,3,10,6,11,7,9,5
2,7,3,11,0,6,8,9,10,5,1
2,10,3,0,1,8,6,11,7,9,5
3,1,2,4,7,6,9,8,11,5
4,3,6,7,0,8,2,10,9,11,1,5
6,1,8,0,2,3,11,10,7,9,5
6,3,0,8,2,10,11,7,9,5,1
6,7,0,8,9,11,3,2,10,5,1
7,1,9,0,6,8,11,3,2,10,5
8,0,1,2
8,1,0,2
9,1,0,8,2,5,11
9,3,7,11,0,8,2,10,6,1,5
9,4,7,0,8,6,11,3,2,10,1,5
9,5,0,8,2,1,11
9,7,0,8,6,11,3,2,10,1,5
9,4,7,11,0,8,6,3,2,10,1,5
10,0,1,2,3,8,11,6,9,7,5
10,6,3,5,0,2,7,9,8,11,1
10,7,3,5,0,2,9,11,8,6,1
10,11,3,6,7,8,9,0,2,5,1
2,3,11,0,10,8,6,7,9,5,1
