0,1,2,3,4,5,6,7,8,9,10,11
"(0, 1)","(0, 11)","(0, 2)","(0, 10)","(0, 3)","(0, 9)","(0, 6)","(1, 3)","(1, 4)","(1, 10)","(1, 7)","(1, 6)","(1, 2)","(1, 11)","(2, 3)","(2, 4)","(3, 6)","(3, 8)","(3, 9)","(3, 4)","(4, 5)","(4, 6)","(4, 9)","(4, 11)","(5, 6)","(5, 7)","(5, 8)","(6, 8)","(7, 8)","(7, 9)","(7, 10)","(8, 9)","(8, 10)","(8, 11)","(9, 10)","(10, 11)"
87,32
4,0,2,6,1,9,11,3,8,10,7,5
7,0,9,10,1,3,4,8,5,2,6,11
8,1,7,6,10,11,3,5,9,0,4,2
1,4,0,2,6,9,11,3,8,10,7,5
1,7,0,9,10,3,4,8,5,2,6,11
2,4,0,6,1,9,11,3,8,10,7,5
3,4,0,2,6,1,9,11,8,10,7,5
3,8,1,7,6,10,11,9,5,0,4,2
5,4,1,6,7,8,9,11,3,10,0,2
6,4,0,2,1,9,11,3,10,7,8,5
6,8,2,4,3,1,0,5,9,11,10,7
9,0,2,3,4,6,1,11,8,10,7,5
9,4,2,0,3,1,11,6,10,7,8,5
9,7,6,8,0,3,4,5,1,10,11,2
9,8,2,0,3,4,11,10,6,1,5,7
10,7,0,9,1,3,4,8,11,5,2,6
11,4,0,2,6,1,9,3,8,10,7,5
11,8,9,10,0,4,1,3,6,2,5,7
0,1,6,2,4,3,9,11,10,7,8,5
0,1,11,9,3,4,10,7,8,2,6,5
0,2,3
0,3,6
1,2,4,0,6,9,11,3,8,10,7,5
1,3,4,0,2,6,9,11,8,10,7,5
1,6,4,2,3,0,11,9,8,10,7,5
1,10,11
2,3,4,0,6,1,9,11,8,10,7,5
3,6,4,0,2,1,9,11,10,7,8,5
9,7,8,6,0,3,4,5,1,10,11,2
9,10,7,6,8,0,3,4,1,5,11,2
9,10,8,6,0,3,4,1,11,2,5,7
10,0,11
