0,1,2,3,4,5,6,7,8,9,10,11,12
"(0, 7)","(0, 6)","(0, 8)","(0, 11)","(0, 5)","(0, 2)","(0, 3)","(0, 10)","(1, 2)","(1, 6)","(1, 3)","(1, 12)","(1, 4)","(1, 8)","(1, 9)","(2, 9)","(2, 3)","(2, 4)","(2, 8)","(2, 6)","(2, 12)","(3, 6)","(3, 11)","(3, 8)","(3, 10)","(3, 4)","(3, 7)","(4, 6)","(4, 12)","(4, 5)","(4, 10)","(4, 7)","(4, 9)","(4, 11)","(5, 6)","(5, 7)","(5, 11)","(5, 12)","(5, 8)","(6, 8)","(6, 11)","(6, 12)","(7, 8)","(7, 11)","(8, 11)","(8, 10)","(9, 10)","(9, 11)","(9, 12)","(10, 11)","(10, 12)","(11, 12)"
200,135
0,1,6,8,2,3
1,0,2,6,3,8
4,0,6,5,10,2,7,11,3,8,12,9,1
9,0,10,11,2,4,8,12,3,6,5,7,1
12,0,11,10,6,5,2,9,8,3,4,1,7
0,2,1,6,8,3
1,2,0,6,3,8
2,4,0,6,5,10,7,11,3,8,12,9,1
2,9,0,10,11,4,8,12,3,6,5,7,1
2,12,0,11,10,6,5,9,8,3,4,1,7
3,0,1,6,8,2
3,1,0,2,6,8
3,4,0,6,5,10,2,7,11,8,12,9,1
4,1,0,6,5,10,2,7,11,3,8,12,9
5,0,4,7,6,11,2,3,10,8,12,9,1
5,4,3,6,7,11,0,8,2,10,1,12,9
5,9,4,11,12,6,2,1,0,8,3,10,7
5,12,3,4,6,7,11,0,8,10,1,2,9
6,0,1,8,2,3
6,1,0,2,3,8
6,4,0,5,10,2,7,11,3,12,8,9,1
6,12,0,11,10,5,2,9,8,3,4,1,7
7,0,2,8,4,3,6,11,10,1,5,12,9
7,4,2,8,0,3,6,11,10,1,5,12,9
7,9,4,11,3,10,2,1,8,0,12,6,5
7,12,5,4,11,8,10,1,6,2,3,0,9
8,0,1,6,2,3
8,1,0,2,6,3
9,1,0,10,11,2,6,3,8,4,12,5,7
10,0,2,9,4,8,12,3,11,1,6,5,7
10,4,2,9,8,12,3,0,11,1,7,6,5
10,9,3,11,2,4,1,8,6,12,0,7,5
10,12,3,4,11,1,6,2,9,8,0,5,7
11,0,2,9,8,3,6,12,4,10,1,5,7
11,4,2,9,8,3,6,12,0,10,1,7,5
11,9,3,10,2,4,1,8,12,0,6,7,5
11,12,3,4,10,1,6,2,9,8,0,5,7
12,1,0,11,10,6,5,2,3,8,9,4,7
0,2,3,1,6,8
2,3,4,0,6,5,10,7,11,8,12,9,1
2,4,1,0,6,5,10,7,11,3,8,12,9
2,6,0,1,8,3
2,6,1,0,3,8
2,6,4,0,5,10,7,11,3,12,8,9,1
2,6,12,0,11,10,5,9,8,3,4,1,7
2,8,0,1,6,3
2,8,1,0,6,3
2,9,1,3,10,11,4,8,12,0,6,7,5
2,12,1,3,4,11,10,6,9,8,0,5,7
3,4,1,0,6,5,10,2,7,11,8,12,9
3,6,0,1,8,2
3,6,1,0,2,8
3,6,4,0,5,10,2,7,11,8,12,9,1
3,7,0,6,8,5,4,11,10,1,2,12,9
3,7,4,10,8,0,11,6,1,2,5,12,9
3,8,0,1,6,2
3,8,1,0,2,6
3,10,0,7,4,11,8,6,5,2,1,12,9
3,10,4,9,11,2,1,8,6,12,0,7,5
3,11,0,5,6,8,4,7,10,1,2,12,9
3,11,4,5,6,8,0,7,10,1,2,12,9
5,0,6,7,4,8,3,11,10,2,1,12,9
5,4,6,10,11,0,12,8,3,7,2,1,9
5,6,12,3,4,7,11,0,8,10,1,2,9
5,7,0,6,8,4,3,11,10,1,2,12,9
5,7,4,8,6,10,2,1,11,3,0,12,9
5,8,0,4,7,6,11,3,10,1,2,12,9
5,11,0,4,7,6,2,3,10,8,12,9,1
5,11,4,3,6,7,0,8,2,10,1,12,9
5,11,12,3,4,6,7,0,8,10,1,2,9
5,12,4,3,6,7,11,0,8,10,1,2,9
6,4,1,0,5,10,2,7,11,3,8,12,9
6,8,0,1,2,3
6,8,1,0,2,3
6,11,0,2,9,8,3,12,4,1,10,5,7
