0,1,2,3,4,5,6,7,8,9,10,11,12,13
"(0, 1)","(0, 13)","(0, 2)","(0, 12)","(0, 11)","(0, 10)","(0, 6)","(0, 9)","(0, 7)","(0, 3)","(1, 4)","(1, 12)","(1, 5)","(1, 9)","(1, 2)","(1, 6)","(1, 7)","(1, 8)","(2, 3)","(2, 4)","(2, 5)","(2, 13)","(2, 6)","(2, 11)","(2, 10)","(3, 5)","(3, 7)","(3, 13)","(3, 10)","(3, 11)","(4, 5)","(4, 6)","(4, 7)","(4, 9)","(4, 13)","(5, 6)","(5, 9)","(5, 11)","(5, 13)","(5, 12)","(6, 9)","(6, 12)","(7, 8)","(7, 9)","(7, 10)","(8, 9)","(8, 10)","(8, 11)","(9, 12)","(9, 13)","(10, 11)","(10, 13)","(10, 12)","(11, 13)","(11, 12)","(12, 13)"
212,118
4,0,2,6,1,7,9,13,3,10,5,12,11,8
5,0,6,3,2,1,9,11,13,12,4,7,10,8
8,0,7,9,10,11,1,3,12,13,5,2,6,4
0,3,1,2,5,7,4,10,6,9,11,13,12,8
0,10,1,8,7,2,12,9,11,4,3,5,13,6
0,11,1,8,2,5,12,7,9,10,13,6,3,4
0,13,1,12,2,9,5,4,6,11,10,3,7,8
1,4,0,2,6,7,9,13,3,10,5,12,11,8
1,5,0,6,3,2,9,11,13,12,4,7,10,8
1,8,3,0,5,2,7,10,11,9,13,12,6,4
2,4,0,6,1,7,9,13,5,12,10,3,11,8
2,5,0,6,3,1,9,11,13,12,4,7,10,8
3,5,1,2,7,0,4,10,9,13,12,11,6,8
6,4,0,2,1,7,9,13,3,10,5,12,11,8
6,5,0,3,2,1,9,11,13,12,7,10,4,8
7,4,0,2,6,1,9,13,3,10,5,12,11,8
7,8,0,9,10,11,1,12,13,5,2,3,6,4
9,4,0,2,6,1,7,13,5,3,10,12,11,8
9,5,0,6,3,2,1,11,13,12,4,7,10,8
9,8,0,7,10,11,1,3,13,12,2,5,4,6
10,8,6,0,2,12,9,1,11,7,5,13,4,3
11,5,1,8,0,2,12,9,7,10,13,6,3,4
11,8,9,13,0,5,12,10,1,7,2,6,3,4
12,5,0,6,3,2,1,9,11,13,4,10,7,8
13,4,1,12,0,2,9,5,6,11,10,7,3,8
13,5,1,12,0,2,9,4,6,11,10,3,7,8
0,1,2,5,13,12,11,6,9,3,4,10,8,7
0,1,7,8,11,10,9,2,5,12,3,13,4,6
0,1,9,5,13,2,12,11,6,3,4,10,8,7
0,1,12,5,13,2,11,6,9,3,4,10,8,7
0,2,3,9,4,5,13,6,1,7,11,12,10,8
0,2,6
0,2,10,1,8,7,12,9,11,4,3,13,6,5
0,2,11,1,8,5,12,7,9,10,6,3,13,4
0,2,13,1,12,9,5,4,6,11,10,3,7,8
0,7,3,9,5,13,6,2,1,11,12,4,10,8
0,7,9
0,7,10,2,4,3,1,6,9,13,5,12,8,11
0,9,13,11,8,12,5,7,10,1,6,3,2,4
0,12,10,9,8,7,13,11,1,4,3,5,2,6
0,12,11,9,13,8,5,10,7,1,6,3,2,4
0,12,13,8,1,11,10,9,7,4,5,2,3,6
1,2,4,3,0,5,7,13,6,9,12,11,10,8
1,2,5,3,0,7,13,12,11,6,9,4,10,8
1,6,4,0,2,7,9,13,3,10,5,12,11,8
1,6,5,0,3,2,9,11,13,12,7,10,4,8
1,7,4,6,9,0,13,2,12,5,10,3,11,8
1,7,8,3,0,5,2,10,11,9,13,12,6,4
1,9,4,3,0,5,2,7,13,6,12,11,10,8
1,9,5,3,0,2,7,13,12,11,6,4,10,8
1,9,8,3,0,5,2,7,13,10,11,12,6,4
1,12,5,4,13,9,6,0,2,11,3,7,10,8
2,3,5,10,11,13,12,0,1,6,9,7,8,4
2,6,4,0,1,7,9,13,12,5,10,3,11,8
2,6,5,0,3,1,9,11,13,12,7,10,8,4
2,11,5,1,8,0,12,10,9,7,13,6,3,4
2,13,4,3,5,7,1,9,10,0,12,8,6,11
2,13,5,1,12,0,9,4,6,11,10,3,7,8
3,7,10
3,10,0,1,2,5,7,8,12,4,11,13,6,9
3,11,0,1,2,5,7,8,12,4,10,13,6,9
3,11,5,1,2,7,0,8,12,4,10,13,6,9
3,13,0,1,2,5,7,12,9,4,10,6,11,8
3,13,5,1,2,7,0,12,9,4,10,6,11,8
6,9,4,0,2,1,7,13,5,3,10,12,11,8
6,9,5,0,3,2,1,11,13,12,7,10,4,8
6,12,5,0,3,2,1,9,11,13,10,7,4,8
7,9,4,0,2,6,1,13,3,10,5,12,11,8
7,9,8,0,10,11,1,13,12,2,3,5,4,6
9,12,5,0,6,3,2,1,11,13,4,7,10,8
9,13,4,3,7,5,0,2,10,1,6,11,12,8
9,13,5,3,7,0,4,10,1,2,12,11,6,8
10,11,0,1,8,7,2,12,5,9,3,4,13,6
10,13,0,1,8,7,2,12,9,5,4,11,3,6
11,12,5,10,3,2,13,0,6,1,9,4,8,7
11,13,0,1,8,2,5,12,9,4,10,7,6,3
11,13,5,1,8,0,2,12,9,4,10,7,6,3
12,13,5,8,9,1,11,10,0,7,4,2,3,6
0,1,6,9,11,12,5,2,8,13,10,3,4,7
0,1,6,12,8,11,10,9,7,2,5,13,3,4
0,2,3,10,9,4,5,13,6,1,7,8,12,11
0,2,11,3,9,4,5,13,6,1,8,12,7,10
0,2,13,3,9,4,5,6,1,7,11,12,10,8
0,6,9,12
0,9,12,1,5,13,2,11,6,3,4,10,8,7
0,12,10,11,9,8,7,13,5,1,3,4,6,2
1,2,4,5,3,0,7,13,6,9,12,11,10,8
1,2,6,4,3,0,5,7,13,9,12,11,10,8
1,2,6,5,3,0,7,13,12,11,9,4,10,8
1,6,9,4,3,0,5,2,7,13,12,11,10,8
1,6,9,5,3,0,2,7,13,12,11,4,10,8
1,7,9,4,6,0,13,2,12,5,10,3,11,8
1,7,9,8,3,0,5,2,13,10,11,12,6,4
1,9,4,5,3,0,2,7,13,6,12,11,10,8
1,9,12,5,4,13,6,0,2,11,3,7,10,8
1,12,5,6,8,9,11,10,13,0,7,2,3,4
2,3,5,11,12,0,13,6,1,10,9,4,7,8
2,3,13,5,10,11,12,0,1,6,9,7,4,8
2,10,11,0,1,8,7,12,5,9,4,3,13,6
2,10,13,0,1,8,7,12,9,5,4,11,3,6
2,13,4,5,10,7,3,11,12,0,1,9,8,6
2,13,11,0,1,12,9,5,4,8,6,10,3,7
2,13,11,5,1,12,0,9,4,8,6,10,3,7
3,10,11,0,1,2,5,7,8,12,4,13,6,9
3,10,13,0,1,2,5,7,8,12,9,4,11,6
3,11,13,0,1,2,5,7,8,12,9,4,10,6
3,11,13,5,1,2,7,0,8,12,9,4,10,6
6,9,12,5,0,3,2,1,11,13,7,10,4,8
10,11,12,13
10,11,13,0,1,8,7,2,12,5,9,4,3,6
10,12,13,0,9,8,7,11,1,4,3,5,2,6
11,12,13,0,9,8,5,10,1,7,6,3,2,4
0,2,3,10,11,12,5,13,6,1,9,4,7,8
0,2,13,3,10,9,4,5,6,1,7,8,12,11
2,3,10,11,13
2,3,11,13,0,9,4,5,6,1,7,8,12,10
2,10,11,13,0,1,8,7,12,5,9,4,3,6
3,10,11,13,0,1,2,5,7,8,12,9,4,6
