0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"(0, 1)","(0, 14)","(0, 2)","(0, 13)","(0, 3)","(0, 4)","(0, 11)","(0, 5)","(0, 10)","(1, 2)","(1, 14)","(1, 4)","(1, 13)","(1, 5)","(1, 12)","(1, 6)","(1, 11)","(1, 10)","(1, 8)","(2, 3)","(2, 4)","(2, 5)","(2, 14)","(2, 6)","(2, 13)","(2, 7)","(2, 12)","(2, 11)","(3, 5)","(3, 6)","(3, 7)","(3, 14)","(3, 8)","(3, 13)","(3, 11)","(4, 5)","(4, 6)","(4, 7)","(4, 8)","(4, 9)","(4, 14)","(4, 10)","(4, 12)","(5, 6)","(5, 7)","(5, 8)","(5, 9)","(5, 10)","(5, 11)","(6, 7)","(6, 8)","(6, 9)","(6, 10)","(6, 11)","(6, 12)","(7, 8)","(7, 9)","(7, 10)","(7, 11)","(7, 12)","(8, 9)","(8, 10)","(8, 12)","(8, 13)","(9, 10)","(9, 11)","(9, 12)","(9, 13)","(9, 14)","(10, 11)","(10, 12)","(10, 14)","(11, 14)","(12, 14)","(13, 14)"
317,177
6,0,5,4,3,2,10,1,11,7,8,14,9,13,12
7,1,6,8,5,4,10,11,2,12,9,3,13,0,14
8,0,10,5,4,3,13,1,11,7,6,14,9,2,12
9,3,8,7,11,6,5,13,14,10,1,4,12,2,0
12,0,10,14,1,2,4,11,7,6,5,9,3,8,13
0,3,1,2,5,6,14,8,13,11,4,7,12,9,10
1,6,0,5,4,3,2,10,11,7,8,14,9,13,12
1,8,3,0,2,14,13,5,6,11,4,10,7,12,9
1,12,0,10,14,2,4,11,7,6,5,9,8,3,13
2,6,0,5,4,3,10,1,11,7,8,14,9,13,12
2,7,1,6,8,5,4,10,11,12,3,13,9,0,14
2,12,0,10,14,1,4,11,7,6,5,9,3,8,13
3,6,1,2,5,0,14,8,13,11,4,7,12,9,10
3,7,1,2,5,0,6,14,8,13,11,4,10,12,9
3,8,4,2,5,0,6,7,14,1,13,12,9,10,11
4,6,0,5,3,2,10,1,11,7,14,8,13,12,9
4,7,1,6,8,5,10,11,2,12,9,3,13,14,0
4,8,0,10,5,3,13,1,11,7,6,14,9,2,12
4,9,3,5,2,6,7,0,8,14,11,13,1,10,12
4,12,0,10,14,1,2,11,7,6,5,9,3,8,13
5,6,0,4,3,2,10,1,11,7,8,14,9,13,12
5,7,1,6,8,4,10,11,2,12,9,3,13,0,14
5,8,0,10,4,3,13,1,11,7,6,14,9,2,12
5,9,3,8,7,11,6,13,14,10,1,4,12,2,0
10,6,0,5,4,3,2,1,11,7,8,14,9,13,12
10,7,3,11,8,6,14,5,0,9,1,4,12,13,2
10,8,0,5,4,3,13,1,2,9,6,7,14,11,12
10,9,3,11,8,7,6,14,5,0,13,1,2,4,12
10,12,0,14,1,2,4,5,6,7,11,8,9,3,13
11,6,0,5,4,3,2,10,1,7,9,14,8,13,12
11,7,1,6,8,5,4,10,2,12,9,3,13,0,14
11,9,4,10,14,7,0,6,1,2,5,12,3,8,13
13,8,0,10,5,4,3,1,9,14,11,7,6,2,12
13,9,7,2,8,3,4,5,14,6,12,11,1,0,10
14,9,3,8,7,11,6,5,13,10,4,12,1,2,0
