0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"(0, 1)","(0, 15)","(0, 2)","(0, 14)","(0, 3)","(0, 13)","(0, 4)","(0, 12)","(0, 5)","(0, 11)","(1, 2)","(1, 3)","(1, 15)","(1, 4)","(1, 14)","(1, 5)","(1, 13)","(1, 7)","(1, 8)","(1, 9)","(2, 3)","(2, 5)","(2, 15)","(2, 6)","(2, 14)","(2, 7)","(2, 9)","(2, 4)","(2, 10)","(2, 8)","(2, 12)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(3, 15)","(3, 8)","(3, 14)","(3, 12)","(3, 9)","(4, 5)","(4, 6)","(4, 7)","(4, 9)","(4, 15)","(4, 13)","(5, 7)","(5, 8)","(5, 9)","(5, 10)","(5, 13)","(6, 8)","(6, 9)","(6, 10)","(6, 11)","(6, 13)","(6, 7)","(7, 8)","(7, 10)","(7, 12)","(8, 9)","(8, 12)","(8, 10)","(9, 10)","(9, 11)","(9, 12)","(9, 14)","(10, 11)","(10, 12)","(10, 13)","(10, 15)","(11, 12)","(11, 13)","(11, 14)","(11, 15)","(12, 14)","(12, 15)","(13, 14)","(13, 15)","(14, 15)"
369,183
6,1,4,8,3,9,2,13,7,5,10,0,15,14,11,12
7,0,5,4,3,2,12,1,8,9,10,15,14,6,11,13
8,0,5,12,3,1,2,7,9,10,14,15,4,6,11,13
9,0,11,12,5,4,14,2,3,1,10,13,15,6,8,7
10,1,9,7,13,5,15,8,2,6,12,4,3,11,14,0
0,11,10,15,2,13,12,5,1,3,4,6,14,9,8,7
0,12,1,14,9,15,8,7,3,2,11,5,4,10,6,13
1,7,0,5,4,3,2,12,8,9,10,15,14,6,11,13
1,8,0,5,12,3,2,7,9,10,14,15,4,6,11,13
1,9,0,11,12,5,4,14,2,3,13,15,10,6,8,7
2,6,1,4,8,3,9,13,7,5,10,0,15,14,11,12
2,7,0,5,4,3,12,1,8,9,10,15,14,6,11,13
2,8,0,5,12,3,1,7,9,10,14,15,4,6,11,13
2,9,0,11,12,5,4,14,3,1,10,15,6,13,8,7
2,10,4,9,7,13,6,5,15,8,12,3,1,11,14,0
3,6,1,4,8,9,2,13,7,5,10,11,14,12,0,15
3,7,0,5,4,2,12,1,8,9,10,15,14,6,11,13
3,8,0,5,12,1,2,7,9,10,14,15,4,6,11,13
3,9,0,11,12,5,4,14,2,1,15,6,10,13,8,7
4,6,1,8,3,9,2,13,7,5,10,0,15,14,11,12
4,7,0,5,3,2,12,1,8,9,10,15,14,6,11,13
4,9,0,11,12,5,14,2,3,1,13,15,6,10,7,8
5,7,0,4,3,2,12,1,9,15,10,8,14,6,11,13
5,8,0,12,3,1,2,10,9,7,14,15,11,13,6,4
5,9,0,11,12,4,14,2,3,1,10,13,15,6,8,7
5,10,1,9,7,13,15,8,2,6,12,4,3,11,14,0
11,6,8,10,12,9,7,3,2,5,4,1,0,15,14,13
11,9,5,10,13,0,12,15,2,14,1,6,4,3,8,7
11,10,5,9,13,0,6,4,14,1,12,2,3,15,8,7
12,7,1,14,9,15,8,0,3,2,10,6,5,4,11,13
12,8,1,14,9,15,0,7,3,2,10,11,4,5,6,13
12,9,1,14,15,8,0,7,3,2,11,10,4,5,6,13
12,10,1,14,9,15,8,0,7,3,2,13,5,11,4,6
13,6,3,14,15,0,1,5,4,11,2,9,10,7,8,12
13,10,4,9,7,6,5,15,2,11,14,1,8,12,3,0
14,9,0,11,12,5,4,2,3,1,10,13,15,6,8,7
15,10,1,9,7,13,5,8,2,11,12,4,14,3,6,0
0,1,13,3,14,15,5,6,4,2,9,11,10,7,8,12
0,2,12,1,14,9,15,8,7,3,11,5,4,10,6,13
0,3,12,1,14,9,15,8,7,2,11,5,4,10,6,13
0,11,12,13,10,14,15,5,2,9,3,7,8,1,4,6
0,13,11,12,14,15,10,2,9,5,1,6,4,3,7,8
0,14,11,10,15,2,13,12,5,9,1,3,4,6,8,7
0,14,12,1,9,15,8,7,3,2,11,5,4,10,6,13
0,15,11,10,2,13,12,5,6,14,9,1,4,8,7,3
0,15,12,1,14,9,8,7,3,2,11,5,4,10,6,13
1,2,7,0,5,4,3,12,8,9,10,15,14,6,11,13
1,2,8,0,5,12,3,7,9,10,14,15,4,6,11,13
1,2,9,0,11,12,5,4,14,3,13,15,10,6,8,7
1,3,7,0,5,4,2,12,8,9,10,15,14,6,11,13
1,3,8,0,5,12,2,7,9,10,14,15,4,6,11,13
1,3,9,0,11,12,5,4,14,2,13,15,6,10,8,7
1,4,7,0,5,3,2,12,8,9,10,14,15,6,11,13
1,4,9,0,11,12,5,14,2,3,13,15,6,10,8,7
1,5,7,0,4,3,2,12,9,15,14,8,10,6,11,13
1,5,8,0,12,3,2,14,9,15,7,10,13,11,4,6
1,5,9,0,11,12,4,14,2,3,13,15,10,6,8,7
1,14,9,0,11,12,5,4,2,3,13,15,10,6,8,7
2,3,6,1,4,8,9,13,7,5,10,11,14,12,15,0
2,3,7,0,5,4,12,1,8,9,10,15,14,6,11,13
2,3,8,0,5,12,1,7,9,10,14,15,4,6,11,13
2,3,9,0,11,12,5,4,14,1,10,15,6,13,8,7
2,4,6,1,8,3,9,13,7,5,10,0,15,14,11,12
2,4,7,0,5,3,12,1,8,9,10,15,14,6,11,13
2,4,9,0,11,12,5,14,3,1,10,15,6,13,7,8
2,5,7,0,4,3,12,1,9,15,10,8,14,6,11,13
2,5,8,0,12,3,1,10,9,7,14,15,11,13,6,4
2,5,9,0,11,12,4,14,3,1,10,15,6,13,8,7
2,5,10,6,4,3,7,8,9,13,15,1,12,0,14,11
2,12,7,1,14,9,15,8,0,3,10,6,5,4,11,13
2,12,8,1,14,9,15,0,7,3,10,11,4,5,6,13
2,12,9,1,14,15,8,0,7,3,11,10,4,5,6,13
2,12,10,6,11,9,8,7,3,14,15,0,5,4,1,13
2,14,9,0,11,12,5,4,3,1,10,15,6,13,8,7
2,15,10,11,0,6,14,9,12,13,5,3,4,1,8,7
3,4,6,1,8,9,2,13,7,5,10,11,14,12,0,15
3,4,7,0,5,2,12,1,8,9,10,15,14,6,11,13
3,4,9,0,11,12,5,14,2,1,15,6,13,10,7,8
3,5,7,0,4,2,12,1,9,15,10,8,14,6,11,13
3,5,8,0,12,1,2,10,9,7,14,15,6,11,13,4
3,5,9,0,11,12,4,14,2,1,15,6,10,13,8,7
3,12,7,1,14,9,15,8,0,2,10,6,5,4,11,13
3,12,8,1,14,9,15,0,7,2,10,11,4,5,6,13
3,12,9,1,14,15,8,0,7,2,11,10,4,5,6,13
3,14,9,0,11,12,5,4,2,1,15,6,10,13,8,7
4,5,7,0,3,2,12,1,9,15,10,8,14,6,11,13
4,5,9,0,11,12,14,2,3,1,13,15,6,10,7,8
11,6,9,8,10,12,7,3,2,5,4,1,0,15,14,13
11,10,6,8,12,9,7,3,2,5,4,1,0,15,14,13
11,12,9,8,10,6,3,2,7,0,15,14,5,4,1,13
11,12,10,8,9,6,3,2,7,0,15,14,5,4,1,13
11,13,6,9,14,10,1,5,4,2,3,15,12,0,7,8
11,13,10,5,9,0,6,4,14,1,12,2,3,15,8,7
11,14,9,10,13,15,12,2,1,5,6,4,0,3,7,8
11,15,10,9,14,1,12,2,3,4,13,0,5,7,8,6
12,14,9,1,15,8,0,7,3,2,11,10,4,5,6,13
12,15,10,1,14,9,8,0,7,3,2,13,5,11,4,6
13,15,10,9,14,11,1,5,6,4,12,2,3,0,7,8
0,1,4,13,3,14,15,5,6,2,9,11,10,7,8,12
0,1,5,13,3,14,15,6,4,2,9,11,10,8,7,12
0,1,14,13,12,2,3,15,7,8,9,11,10,5,6,4
0,1,15,13,3,14,5,6,4,2,9,11,10,7,8,12
0,2,3,12,13,1,5,15,6,14,4,10,11,7,8,9
0,2,14,12,1,9,15,8,7,3,11,5,4,10,6,13
0,2,15,12,1,14,9,8,7,3,11,5,4,10,6,13
0,3,14,12,1,9,15,8,7,2,11,5,4,10,6,13
0,3,15,12,1,14,9,8,7,2,11,5,4,10,6,13
0,4,5,13
0,4,13,15
0,11,12,14,13,10,15,5,2,9,3,7,8,1,4,6
0,13,11,14,12,15,10,5,2,9,3,1,7,8,4,6
0,13,15,11,12,14,10,2,9,5,1,6,4,3,7,8
0,14,15,11,10,2,13,12,5,9,6,1,4,8,7,3
0,14,15,12,1,9,8,7,3,2,11,5,4,10,6,13
0,15,11,12,13,10,14,5,2,9,4,3,1,7,8,6
1,2,3,7,0,5,4,12,8,9,10,15,14,6,11,13
1,2,3,8,4,7,9,6,5,10,12,13,15,14,0,11
1,2,3,9,0,11,12,5,4,14,13,15,10,6,8,7
1,2,4,7,0,5,3,12,8,9,10,14,15,6,11,13
1,2,4,9,0,11,12,5,14,3,13,15,10,6,8,7
1,2,5,7,0,4,3,12,9,15,14,8,10,6,11,13
1,2,5,8,0,12,3,14,9,15,7,10,13,11,4,6
1,2,5,9,0,11,12,4,14,3,13,15,10,6,8,7
1,2,14,9,0,11,12,5,4,3,13,15,10,6,8,7
1,3,4,7,0,5,2,12,8,9,10,14,15,6,11,13
1,3,4,9,0,11,12,5,14,2,13,15,6,10,8,7
1,3,5,7,0,4,2,12,9,15,14,8,10,6,11,13
1,3,5,8,0,12,2,14,9,15,7,10,13,11,4,6
1,3,5,9,0,11,12,4,14,2,13,15,6,10,8,7
1,3,14,9,0,11,12,5,4,2,13,15,6,10,8,7
1,4,5,7,0,3,2,12,14,9,15,8,10,13,11,6
1,4,5,9,0,11,12,14,2,3,13,15,6,10,8,7
1,4,5,13
1,4,13,15
1,13,14,15
2,3,4,6,5,8,9,10,13,7,1,11,14,12,15,0
2,3,4,7,0,5,12,1,8,9,10,15,14,6,11,13
2,3,4,9,0,11,12,5,14,1,10,15,6,13,7,8
2,3,5,7,0,4,12,1,9,15,10,8,14,6,11,13
2,3,5,8,0,12,1,10,9,7,14,15,6,11,13,4
2,3,5,9,0,11,12,4,14,1,10,15,6,13,8,7
2,3,12,7,6,11,10,9,8,14,15,0,5,4,1,13
2,3,12,8,6,11,10,9,7,14,15,0,5,4,1,13
2,3,12,9,7,8,10,6,5,4,1,15,13,11,0,14
2,3,14,9,0,11,12,5,4,1,10,15,6,13,8,7
2,4,5,7,0,3,12,1,9,15,10,8,14,6,11,13
2,4,5,9,0,11,12,14,3,1,10,15,6,13,7,8
2,5,10,7,6,4,3,8,9,13,15,1,12,0,14,11
2,12,10,7,6,11,9,8,3,14,15,0,5,4,1,13
2,12,14,9,1,15,8,0,7,3,11,10,4,5,6,13
3,4,5,7,0,2,12,1,9,15,10,8,14,6,11,13
3,4,5,9,0,11,12,14,2,1,15,6,13,10,7,8
3,12,14,9,1,15,8,0,7,2,11,10,4,5,6,13
11,12,14,15
11,13,14,15
0,1,2,3,5
0,1,2,3,14,13,5,15,6,4,10,9,7,8,11,12
0,1,2,4,5
0,1,2,4,15
0,1,2,14,15
0,1,3,4,5
0,1,3,4,15
0,1,3,14,15
0,2,3,4,5
0,2,3,4,15
0,2,3,12,14,13,1,5,15,6,4,10,11,7,8,9
0,2,3,15,12,13,1,5,6,14,4,10,11,7,8,9
0,2,14,15,12,1,9,8,7,3,11,5,4,10,6,13
0,3,14,15,12,1,9,8,7,2,11,5,4,10,6,13
1,2,3,4,7,0,5,12,8,9,10,14,15,6,11,13
1,2,3,4,9,0,11,12,5,14,13,15,10,6,8,7
1,2,3,4,15
1,2,3,5,7,0,4,12,9,15,14,8,10,6,11,13
1,2,3,5,8,6,4,13,7,9,10,15,14,0,11,12
1,2,3,5,9,0,11,12,4,14,13,15,10,6,8,7
1,2,3,14,15
1,2,4,5,7,0,3,12,14,9,15,8,10,13,11,6
1,2,4,5,9,0,11,12,14,3,13,15,10,6,8,7
1,3,4,5,7,0,2,12,14,9,15,8,10,13,11,6
1,3,4,5,9,0,11,12,14,2,13,15,6,10,8,7
2,3,4,5,7,0,12,1,9,15,10,8,14,6,11,13
2,3,4,5,9,0,11,12,14,1,10,15,6,13,7,8
2,3,12,14,15
