0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"(0, 5)","(0, 6)","(0, 4)","(0, 1)","(1, 2)","(2, 3)","(2, 9)","(2, 7)","(2, 11)","(3, 11)","(3, 4)","(3, 6)","(4, 7)","(4, 5)","(5, 8)","(5, 13)","(5, 15)","(5, 12)","(6, 10)","(6, 15)","(7, 8)","(7, 15)","(7, 12)","(8, 9)","(8, 10)","(8, 14)","(9, 11)","(9, 12)","(10, 15)","(11, 12)","(12, 13)","(14, 15)"
80,27
2,0,1
8,0,5
9,0,8,5,12,2,1,7,4,15,3,11,14,10,6
10,3,6
11,0,12,5,3,4,6,2,1,7,15,9,8,14,10
13,4,5
14,2,15,7,8,9,5,10,12,0,1,4,3,11,6
0,3,6,4,5,15,7,2,8,12,1,9,11,10,14
1,3,2,8,9,7,0,5,11,4,6,10,12,15,14
1,4,0,3,2,6,7,15,5,8,12,9,11,10,14
1,5,0,3,2,4,6,7,9,8,12,11,15,10,14
1,6,0,9,2,10,8,3,11,5,12,7,15,4,14
1,9,2,0,8,5,12,7,4,15,3,11,6,14,10
1,11,2,0,12,5,3,4,6,9,7,15,8,10,14
1,13,0,5,3,2,4,12,11,6,9,7,8,15,10,14
3,2,0,4,6,1,7,15,5,8,12,9,11,10,14
3,1,2,11,8,9,7,4,5,6,10,0,12,15,14
6,2,3,10,9,8,7,15,11,12,5,14,4,0,1
7,2,0,4,1,3,6,15,5,8,12,9,11,10,14
10,0,6
10,3,6,14,8,15,7,4,5,2,9,11,12,0,1
13,4,5
15,3,6,9,14,8,7,5,10,2,12,11,4,0,1
0,4,13,5
6,3,11,1,0,2,4,5,12,7,15,8,9,14,10
8,5,13
10,6,15,2,8,7,9,3,5,14,4,11,12,0,1
