0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"(0, 1)","(0, 13)","(0, 8)","(0, 9)","(0, 16)","(0, 7)","(0, 2)","(0, 14)","(0, 5)","(0, 3)","(1, 4)","(1, 6)","(1, 12)","(1, 9)","(1, 2)","(1, 11)","(1, 10)","(1, 15)","(1, 5)","(1, 14)","(1, 16)","(2, 5)","(2, 10)","(2, 11)","(2, 12)","(2, 4)","(2, 16)","(2, 3)","(2, 9)","(2, 6)","(2, 15)","(2, 14)","(2, 7)","(3, 14)","(3, 13)","(3, 10)","(3, 5)","(3, 4)","(3, 7)","(3, 6)","(4, 15)","(4, 13)","(4, 12)","(4, 5)","(4, 11)","(4, 6)","(4, 8)","(4, 16)","(4, 10)","(5, 10)","(5, 15)","(5, 14)","(5, 6)","(5, 7)","(5, 12)","(5, 8)","(5, 13)","(5, 9)","(6, 14)","(6, 7)","(6, 13)","(6, 15)","(6, 16)","(6, 8)","(6, 10)","(6, 9)","(6, 11)","(7, 15)","(7, 16)","(7, 8)","(7, 14)","(7, 9)","(7, 10)","(7, 11)","(7, 12)","(8, 9)","(8, 15)","(8, 11)","(8, 12)","(8, 10)","(8, 13)","(8, 16)","(9, 11)","(9, 10)","(9, 13)","(9, 14)","(9, 16)","(10, 11)","(10, 12)","(10, 14)","(10, 13)","(11, 14)","(11, 12)","(11, 15)","(11, 13)","(12, 13)","(12, 15)","(12, 16)","(13, 14)","(13, 15)","(14, 15)","(15, 16)"
646,464
4,0,1,13,5,2,3,8,16,6,12,9,11,10,15,14,7
6,0,1,14,5,7,13,16,8,2,3,9,12,11,10,15,4
10,0,5,2,3,1,9,7,14,8,13,11,12,4,16,6,15
11,0,9,14,1,2,8,7,13,6,5,15,10,4,12,16,3
12,0,1,13,2,5,8,16,7,4,6,9,11,10,15,14,3
15,0,5,7,8,13,14,1,2,16,4,6,12,9,10,3,11
0,3,1,14,10,5,2,4,6,11,13,15,9,7,8,16,12
0,7,1,15,16,6,5,14,9,10,11,12,2,8,13,4,3
0,8,4,1,13,16,2,5,3,6,12,9,11,10,15,14,7
0,13,2,3,4,12,14,15,6,5,9,10,11,7,1,8,16
1,4,0,13,5,2,3,8,16,12,14,15,6,9,10,11,7
1,6,0,14,5,7,13,16,8,2,3,9,15,11,10,4,12
1,10,0,5,2,3,9,7,14,8,13,11,12,4,16,6,15
1,11,0,9,14,2,8,7,13,6,5,15,10,12,4,16,3
1,12,0,13,2,5,8,16,7,4,14,15,6,9,10,11,3
1,15,0,5,7,8,13,14,2,16,4,6,12,9,10,11,3
2,4,0,1,13,5,3,8,16,6,12,9,11,10,15,14,7
2,6,0,1,14,5,7,13,16,8,3,9,12,11,10,15,4
2,10,0,5,3,1,9,7,14,8,13,4,6,12,11,15,16
2,11,0,9,14,1,8,7,13,6,5,15,10,4,12,16,3
2,12,0,1,13,5,8,16,7,4,6,9,11,10,15,14,3
2,15,0,5,7,8,13,14,1,16,4,6,12,9,10,3,11
3,4,1,14,10,5,2,6,0,11,13,15,9,7,8,16,12
3,6,1,14,10,5,2,4,0,11,13,15,9,7,8,16,12
3,10,1,14,5,2,4,6,0,11,13,15,8,16,7,9,12
5,4,0,1,13,2,3,8,16,6,12,9,11,10,15,14,7
5,6,0,1,14,7,13,16,8,2,3,9,12,11,10,15,4
5,10,0,2,3,1,9,7,14,8,13,11,12,4,16,6,15
5,12,0,1,13,2,8,16,7,4,6,9,11,10,15,14,3
5,15,0,7,8,13,14,1,2,16,6,9,10,3,11,12,4
7,6,1,15,16,5,14,0,9,10,11,12,2,8,13,4,3
7,10,1,15,16,6,5,14,0,9,11,12,2,4,8,13,3
7,11,1,15,16,6,5,14,0,9,10,12,2,8,13,4,3
7,12,1,15,16,6,5,14,0,9,10,11,2,8,13,4,3
7,15,1,16,6,5,14,0,9,10,11,12,2,4,8,13,3
8,4,3,0,7,5,6,10,13,1,16,2,9,14,15,11,12
8,6,3,0,7,5,4,10,13,1,9,16,2,14,15,11,12
8,10,3,0,7,5,6,4,13,1,9,2,14,16,15,11,12
8,11,3,0,7,5,6,4,10,13,14,2,1,9,16,15,12
8,12,3,0,7,5,6,4,10,13,2,1,16,9,14,15,11
8,15,3,0,7,5,6,4,10,13,14,2,1,16,9,11,12
9,6,0,1,14,5,7,13,16,8,2,3,12,11,10,15,4
9,10,0,5,2,3,1,7,14,8,13,11,12,4,16,6,15
9,11,0,14,1,2,8,7,13,6,5,15,10,4,12,16,3
13,4,2,0,3,12,14,15,6,5,9,10,11,1,8,16,7
