0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
"(0, 1)","(0, 17)","(0, 2)","(0, 16)","(0, 3)","(0, 4)","(0, 5)","(0, 11)","(0, 9)","(1, 3)","(1, 17)","(1, 16)","(1, 5)","(1, 15)","(1, 6)","(1, 14)","(1, 9)","(1, 11)","(1, 7)","(2, 3)","(2, 4)","(2, 5)","(2, 16)","(2, 7)","(2, 15)","(2, 14)","(2, 13)","(3, 4)","(3, 5)","(3, 7)","(3, 17)","(3, 8)","(3, 9)","(3, 15)","(4, 5)","(4, 6)","(4, 7)","(4, 8)","(4, 9)","(4, 12)","(4, 11)","(4, 13)","(5, 6)","(5, 7)","(5, 8)","(5, 10)","(5, 13)","(5, 15)","(5, 16)","(6, 7)","(6, 8)","(6, 9)","(6, 10)","(6, 11)","(6, 17)","(7, 8)","(7, 9)","(7, 11)","(7, 12)","(7, 13)","(7, 14)","(8, 9)","(8, 10)","(8, 11)","(8, 12)","(8, 17)","(8, 16)","(9, 11)","(9, 12)","(9, 14)","(10, 11)","(10, 12)","(10, 13)","(10, 14)","(10, 15)","(11, 12)","(11, 13)","(11, 15)","(11, 17)","(12, 14)","(12, 15)","(12, 16)","(12, 17)","(13, 16)","(13, 17)","(14, 16)","(14, 17)","(15, 16)","(15, 17)","(16, 17)"
276,173
6,0,5,4,9,1,11,17,3,7,8,10,13,15,16,12,14,2
7,0,5,9,4,3,11,2,1,6,8,10,13,15,14,17,16,12
8,2,7,5,4,3,16,12,13,1,14,0,17,15,10,9,11,6
10,4,11,8,12,13,6,5,7,15,1,0,17,16,9,14,3,2
12,3,9,15,8,7,17,4,11,1,6,14,0,16,10,5,2,13
13,1,11,16,17,5,7,12,8,15,0,10,6,4,14,2,3,9
14,0,16,17,9,1,2,12,8,3,11,6,15,13,7,4,5,10
15,0,16,17,11,1,2,3,5,13,12,8,14,6,7,4,9,10
0,1,2,3,16,5,15,14,7,17,8,9,13,12,10,11,4,6
0,2,1,3,5,16,7,15,14,17,8,9,10,13,12,4,11,6
0,4,1,3,5,6,7,9,11,17,8,15,10,13,2,12,16,14
1,6,4,0,3,5,9,11,7,17,2,8,15,10,13,12,16,14
1,7,2,0,3,16,5,15,14,4,11,9,17,8,13,12,10,6
1,14,6,17,10,9,7,15,13,12,11,8,0,3,5,16,2,4
1,15,2,0,3,16,5,14,7,17,11,9,4,8,13,12,10,6
2,7,1,3,0,5,16,15,14,17,8,9,4,11,10,13,12,6
2,13,3,17,5,7,4,16,0,15,14,1,8,6,12,11,9,10
2,14,6,4,5,7,17,10,9,1,12,3,0,8,11,13,16,15
2,15,1,3,0,5,16,7,14,17,8,9,11,4,10,13,12,6
3,7,0,5,9,4,11,2,1,6,8,10,13,15,14,17,16,12
3,8,2,7,5,4,16,12,13,1,14,0,15,17,9,10,11,6
3,15,0,16,17,11,1,2,5,8,13,12,14,6,9,7,4,10
4,6,1,3,5,7,0,9,11,17,8,15,10,13,2,12,16,14
4,7,1,3,5,6,0,9,11,17,8,15,10,13,2,12,14,16
4,8,2,7,5,3,16,12,13,1,14,0,17,15,10,9,11,6
4,12,6,11,10,9,8,7,17,13,5,14,15,1,3,0,16,2
4,13,1,3,5,6,7,0,9,11,16,17,2,8,15,10,12,14
5,6,0,4,9,1,11,17,3,7,8,12,13,14,10,15,16,2
5,7,0,9,4,3,11,2,1,8,6,14,17,15,10,13,16,12
