0,1,2,3,4,5,6,7
"(0, 1)","(0, 7)","(0, 3)","(0, 4)","(0, 2)","(0, 6)","(1, 2)","(1, 3)","(1, 7)","(1, 4)","(1, 5)","(2, 4)","(2, 7)","(2, 6)","(2, 3)","(2, 5)","(3, 5)","(3, 7)","(3, 4)","(4, 5)","(4, 7)","(4, 6)","(5, 6)","(6, 7)"
101,32
5,0,4,3,1,6,2,7
0,6,1,7,2,5,4,3
1,5,0,4,3,6,2,7
2,5,0,4,3,1,6,7
3,5,0,4,1,6,2,7
4,5,0,3,1,6,2,7
6,5,1,7,2,4,0,3
0,2,6,3,7,5,4,1
0,4,6,1,7,2,5,3
0,7,6,1,2,5,4,3
1,2,5,0,4,3,6,7
1,3,5,0,4,6,2,7
1,4,5,0,3,6,2,7
2,3,5,0,4,1,6,7
2,4,5,0,3,1,6,7
2,6,5,3,7,4,0,1
3,4,5,0,1,6,2,7
4,6,5,1,7,2,0,3
0,2,4,6,5,1,3,7
0,2,7,6,3,5,4,1
0,4,7,6,1,2,5,3
1,2,3,5,0,4,6,7
1,2,4,5,0,3,6,7
1,3,4,5,0,6,2,7
2,3,4,5,0,1,6,7
2,4,6,7
0,1,2,3,4,6,7,5
0,1,2,3,7
0,1,2,4,7
0,1,3,4,7
0,2,3,4,7
1,2,3,4,7
