0,1,2,3,4,5,6,7,8
"(0, 8)","(0, 6)","(0, 4)","(0, 5)","(0, 1)","(0, 2)","(0, 7)","(1, 5)","(1, 2)","(1, 6)","(1, 8)","(2, 5)","(2, 6)","(2, 7)","(2, 3)","(3, 4)","(3, 6)","(3, 7)","(3, 8)","(4, 5)","(4, 6)","(4, 8)","(5, 7)","(5, 8)","(6, 8)","(6, 7)","(7, 8)"
83,31
3,1,6,2,8,5,7,0,4
0,4,3,8,6,2,7,5,1
0,7,1,5,2,6,8,4,3
2,3,5,4,7,8,6,0,1
4,3,5,2,7,8,6,0,1
6,3,1,2,8,5,7,0,4
7,3,1,5,2,6,0,8,4
8,3,2,0,6,5,1,7,4
0,1,2,4,5,6,8,3,7
0,1,8,4,5,6,7,2,3
0,2,7,4,5,6,3,8,1
0,4,5,7,3,6,8,2,1
0,5,7,1,2,6,8,3,4
0,6,4,7,3,5,8,2,1
0,6,7,1,5,2,8,4,3
0,8,4,3,6,2,7,5,1
0,8,7,4,5,3,6,2,1
1,2,5
1,2,6
1,5,8
1,6,8
2,3,6,5,4,7,8,0,1
2,5,7
2,7,3,5,4,8,6,0,1
4,3,6,7,5,0,8,2,1
4,5,8
4,8,3,5,2,7,6,0,1
5,7,8
6,7,3,1,5,2,0,8,4
6,8,3,2,0,5,1,7,4
7,8,3,5,4,2,6,0,1
