trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN2052F198219:2021-03-24T18:48:50Z,17:12:00,17:12:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2052F198219:2021-03-24T18:48:50Z,19:05:00,19:05:00,StopPoint:OCETGV INOUI-87113001,1,,1,0,
OCESN2052F255662:2021-03-24T18:48:50Z,17:08:00,17:08:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2052F255662:2021-03-24T18:48:50Z,19:05:00,19:05:00,StopPoint:OCETGV INOUI-87113001,1,,1,0,
OCESN2060F301712:2021-03-24T18:48:50Z,18:55:00,18:55:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2060F301712:2021-03-24T18:48:50Z,20:52:00,20:52:00,StopPoint:OCETGV INOUI-87113001,1,,1,0,
OCESN2060F305843:2021-03-24T18:48:50Z,18:55:00,18:55:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2060F305843:2021-03-24T18:48:50Z,20:47:00,20:47:00,StopPoint:OCETGV INOUI-87113001,1,,1,0,
OCESN2061F166943:2021-03-24T18:48:50Z,17:23:00,17:23:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2061F166943:2021-03-24T18:48:50Z,19:13:00,19:13:00,StopPoint:OCETGV INOUI-87212027,1,,1,0,
OCESN2061F227511:2021-03-24T18:48:50Z,17:23:00,17:23:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2061F227511:2021-03-24T18:48:50Z,19:13:00,19:13:00,StopPoint:OCETGV INOUI-87212027,1,,1,0,
OCESN2061F287329:2021-03-24T18:48:50Z,16:58:00,16:58:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2061F287329:2021-03-24T18:48:50Z,19:13:00,19:13:00,StopPoint:OCETGV INOUI-87212027,1,,1,0,
OCESN2062F301477:2021-03-24T18:48:50Z,17:17:00,17:17:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2062F301477:2021-03-24T18:48:50Z,18:41:00,18:44:00,StopPoint:OCETGV INOUI-87171926,1,,0,0,
OCESN2062F301477:2021-03-24T18:48:50Z,19:24:00,19:24:00,StopPoint:OCETGV INOUI-87113001,2,,1,0,
OCESN2062F313221:2021-03-24T18:48:50Z,17:17:00,17:17:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
